customer weight Xc Yc
1 1.0 0.5 39.5
2 1.0 1.5 39.5
3 1.0 2.5 39.5
4 1.0 3.5 39.5
5 1.043 4.5 39.5
6 1.819 5.5 39.5
7 1.442 6.5 39.5
8 3.116 7.5 39.5
9 3.737 8.5 39.5
10 5.783 9.5 39.5
11 6.0 10.5 39.5
12 5.62 11.5 39.5
13 4.567 12.5 39.5
14 2.667 13.5 39.5
15 2.014 14.5 39.5
16 1.367 15.5 39.5
17 1.294 16.5 39.5
18 1.0 17.5 39.5
19 1.0 18.5 39.5
20 1.0 19.5 39.5
21 1.0 20.5 39.5
22 1.0 21.5 39.5
23 1.0 22.5 39.5
24 1.0 23.5 39.5
25 1.0 24.5 39.5
26 1.0 25.5 39.5
27 1.0 26.5 39.5
28 1.0 27.5 39.5
29 1.0 28.5 39.5
30 1.0 29.5 39.5
31 1.0 30.5 39.5
32 1.0 31.5 39.5
33 1.0 32.5 39.5
34 1.0 33.5 39.5
35 1.0 34.5 39.5
36 1.0 35.5 39.5
37 1.0 36.5 39.5
38 1.0 37.5 39.5
39 1.0 38.5 39.5
40 1.0 39.5 39.5
41 1.0 0.5 38.5
42 1.0 1.5 38.5
43 1.0 2.5 38.5
44 1.195 3.5 38.5
45 1.162 4.5 38.5
46 1.988 5.5 38.5
47 2.429 6.5 38.5
48 2.878 7.5 38.5
49 3.114 8.5 38.5
50 5.423 9.5 38.5
51 5.992 10.5 38.5
52 5.978 11.5 38.5
53 3.928 12.5 38.5
54 2.338 13.5 38.5
55 1.531 14.5 38.5
56 1.507 15.5 38.5
57 1.209 16.5 38.5
58 1.002 17.5 38.5
59 1.0 18.5 38.5
60 1.0 19.5 38.5
61 1.0 20.5 38.5
62 1.0 21.5 38.5
63 1.0 22.5 38.5
64 1.0 23.5 38.5
65 1.0 24.5 38.5
66 1.0 25.5 38.5
67 1.0 26.5 38.5
68 1.0 27.5 38.5
69 1.0 28.5 38.5
70 1.0 29.5 38.5
71 1.0 30.5 38.5
72 1.0 31.5 38.5
73 1.0 32.5 38.5
74 1.0 33.5 38.5
75 1.0 34.5 38.5
76 1.0 35.5 38.5
77 1.0 36.5 38.5
78 1.0 37.5 38.5
79 1.0 38.5 38.5
80 1.0 39.5 38.5
81 1.0 0.5 37.5
82 1.024 1.5 37.5
83 1.0 2.5 37.5
84 1.3 3.5 37.5
85 1.695 4.5 37.5
86 1.753 5.5 37.5
87 2.386 6.5 37.5
88 2.792 7.5 37.5
89 2.965 8.5 37.5
90 5.473 9.5 37.5
91 5.318 10.5 37.5
92 3.67 11.5 37.5
93 4.992 12.5 37.5
94 4.708 13.5 37.5
95 3.131 14.5 37.5
96 2.006 15.5 37.5
97 1.654 16.5 37.5
98 1.388 17.5 37.5
99 1.286 18.5 37.5
100 1.0 19.5 37.5
101 1.0 20.5 37.5
102 1.0 21.5 37.5
103 1.0 22.5 37.5
104 1.0 23.5 37.5
105 1.0 24.5 37.5
106 1.0 25.5 37.5
107 1.0 26.5 37.5
108 1.0 27.5 37.5
109 1.0 28.5 37.5
110 1.0 29.5 37.5
111 1.0 30.5 37.5
112 1.0 31.5 37.5
113 1.0 32.5 37.5
114 1.0 33.5 37.5
115 1.0 34.5 37.5
116 1.0 35.5 37.5
117 1.0 36.5 37.5
118 1.0 37.5 37.5
119 1.0 38.5 37.5
120 1.0 39.5 37.5
121 1.0 0.5 36.5
122 1.0 1.5 36.5
123 1.632 2.5 36.5
124 1.0 3.5 36.5
125 1.373 4.5 36.5
126 1.209 5.5 36.5
127 2.787 6.5 36.5
128 2.017 7.5 36.5
129 3.361 8.5 36.5
130 4.063 9.5 36.5
131 3.463 10.5 36.5
132 4.63 11.5 36.5
133 3.806 12.5 36.5
134 2.642 13.5 36.5
135 4.292 14.5 36.5
136 2.48 15.5 36.5
137 1.928 16.5 36.5
138 1.349 17.5 36.5
139 1.0 18.5 36.5
140 1.239 19.5 36.5
141 1.126 20.5 36.5
142 1.0 21.5 36.5
143 1.0 22.5 36.5
144 1.0 23.5 36.5
145 1.0 24.5 36.5
146 1.0 25.5 36.5
147 1.0 26.5 36.5
148 1.0 27.5 36.5
149 1.0 28.5 36.5
150 1.0 29.5 36.5
151 1.0 30.5 36.5
152 1.0 31.5 36.5
153 1.0 32.5 36.5
154 1.0 33.5 36.5
155 1.0 34.5 36.5
156 1.0 35.5 36.5
157 1.0 36.5 36.5
158 1.0 37.5 36.5
159 1.0 38.5 36.5
160 1.0 39.5 36.5
161 1.0 0.5 35.5
162 1.028 1.5 35.5
163 1.0 2.5 35.5
164 1.749 3.5 35.5
165 1.114 4.5 35.5
