subarea p1x p1y p2x p2y p3x p3y p4x p4y
0 0.0 40.0 4.0 40.0 0.0 36.0 4.0 36.0
1 4.0 40.0 8.0 40.0 4.0 36.0 8.0 36.0
2 8.0 40.0 12.0 40.0 8.0 36.0 12.0 36.0
3 12.0 40.0 16.0 40.0 12.0 36.0 16.0 36.0
4 16.0 40.0 20.0 40.0 16.0 36.0 20.0 36.0
5 20.0 40.0 24.0 40.0 20.0 36.0 24.0 36.0
6 24.0 40.0 28.0 40.0 24.0 36.0 28.0 36.0
7 28.0 40.0 32.0 40.0 28.0 36.0 32.0 36.0
8 32.0 40.0 36.0 40.0 32.0 36.0 36.0 36.0
9 36.0 40.0 40.0 40.0 36.0 36.0 40.0 36.0
10 0.0 36.0 4.0 36.0 0.0 32.0 4.0 32.0
11 4.0 36.0 8.0 36.0 4.0 32.0 8.0 32.0
12 8.0 36.0 12.0 36.0 8.0 32.0 12.0 32.0
13 12.0 36.0 16.0 36.0 12.0 32.0 16.0 32.0
14 16.0 36.0 20.0 36.0 16.0 32.0 20.0 32.0
15 20.0 36.0 24.0 36.0 20.0 32.0 24.0 32.0
16 24.0 36.0 28.0 36.0 24.0 32.0 28.0 32.0
17 28.0 36.0 32.0 36.0 28.0 32.0 32.0 32.0
18 32.0 36.0 36.0 36.0 32.0 32.0 36.0 32.0
19 36.0 36.0 40.0 36.0 36.0 32.0 40.0 32.0
20 0.0 32.0 4.0 32.0 0.0 28.0 4.0 28.0
21 4.0 32.0 8.0 32.0 4.0 28.0 8.0 28.0
22 8.0 32.0 12.0 32.0 8.0 28.0 12.0 28.0
23 12.0 32.0 16.0 32.0 12.0 28.0 16.0 28.0
24 16.0 32.0 20.0 32.0 16.0 28.0 20.0 28.0
25 20.0 32.0 24.0 32.0 20.0 28.0 24.0 28.0
26 24.0 32.0 28.0 32.0 24.0 28.0 28.0 28.0
27 28.0 32.0 32.0 32.0 28.0 28.0 32.0 28.0
28 32.0 32.0 36.0 32.0 32.0 28.0 36.0 28.0
29 36.0 32.0 40.0 32.0 36.0 28.0 40.0 28.0
30 0.0 28.0 4.0 28.0 0.0 24.0 4.0 24.0
31 4.0 28.0 8.0 28.0 4.0 24.0 8.0 24.0
32 8.0 28.0 12.0 28.0 8.0 24.0 12.0 24.0
33 12.0 28.0 16.0 28.0 12.0 24.0 16.0 24.0
34 16.0 28.0 20.0 28.0 16.0 24.0 20.0 24.0
35 20.0 28.0 24.0 28.0 20.0 24.0 24.0 24.0
36 24.0 28.0 28.0 28.0 24.0 24.0 28.0 24.0
37 28.0 28.0 32.0 28.0 28.0 24.0 32.0 24.0
38 32.0 28.0 36.0 28.0 32.0 24.0 36.0 24.0
39 36.0 28.0 40.0 28.0 36.0 24.0 40.0 24.0
40 0.0 24.0 4.0 24.0 0.0 20.0 4.0 20.0
41 4.0 24.0 8.0 24.0 4.0 20.0 8.0 20.0
42 8.0 24.0 12.0 24.0 8.0 20.0 12.0 20.0
43 12.0 24.0 16.0 24.0 12.0 20.0 16.0 20.0
44 16.0 24.0 20.0 24.0 16.0 20.0 20.0 20.0
45 20.0 24.0 24.0 24.0 20.0 20.0 24.0 20.0
46 24.0 24.0 28.0 24.0 24.0 20.0 28.0 20.0
47 28.0 24.0 32.0 24.0 28.0 20.0 32.0 20.0
48 32.0 24.0 36.0 24.0 32.0 20.0 36.0 20.0
49 36.0 24.0 40.0 24.0 36.0 20.0 40.0 20.0
50 0.0 20.0 4.0 20.0 0.0 16.0 4.0 16.0
