subarea p1x p1y p2x p2y p3x p3y p4x p4y
0 0.0 24.0 4.0 24.0 0.0 20.0 4.0 20.0
1 4.0 24.0 8.0 24.0 4.0 20.0 8.0 20.0
2 8.0 24.0 12.0 24.0 8.0 20.0 12.0 20.0
3 12.0 24.0 16.0 24.0 12.0 20.0 16.0 20.0
4 16.0 24.0 20.0 24.0 16.0 20.0 20.0 20.0
5 20.0 24.0 24.0 24.0 20.0 20.0 24.0 20.0
6 0.0 20.0 4.0 20.0 0.0 16.0 4.0 16.0
7 4.0 20.0 8.0 20.0 4.0 16.0 8.0 16.0
8 8.0 20.0 12.0 20.0 8.0 16.0 12.0 16.0
9 12.0 20.0 16.0 20.0 12.0 16.0 16.0 16.0
10 16.0 20.0 20.0 20.0 16.0 16.0 20.0 16.0
11 20.0 20.0 24.0 20.0 20.0 16.0 24.0 16.0
12 0.0 16.0 4.0 16.0 0.0 12.0 4.0 12.0
13 4.0 16.0 8.0 16.0 4.0 12.0 8.0 12.0
14 8.0 16.0 12.0 16.0 8.0 12.0 12.0 12.0
15 12.0 16.0 16.0 16.0 12.0 12.0 16.0 12.0
16 16.0 16.0 20.0 16.0 16.0 12.0 20.0 12.0
17 20.0 16.0 24.0 16.0 20.0 12.0 24.0 12.0
18 0.0 12.0 4.0 12.0 0.0 8.0 4.0 8.0
19 4.0 12.0 8.0 12.0 4.0 8.0 8.0 8.0
20 8.0 12.0 12.0 12.0 8.0 8.0 12.0 8.0
21 12.0 12.0 16.0 12.0 12.0 8.0 16.0 8.0
22 16.0 12.0 20.0 12.0 16.0 8.0 20.0 8.0
23 20.0 12.0 24.0 12.0 20.0 8.0 24.0 8.0
24 0.0 8.0 4.0 8.0 0.0 4.0 4.0 4.0
25 4.0 8.0 8.0 8.0 4.0 4.0 8.0 4.0
26 8.0 8.0 12.0 8.0 8.0 4.0 12.0 4.0
27 12.0 8.0 16.0 8.0 12.0 4.0 16.0 4.0
28 16.0 8.0 20.0 8.0 16.0 4.0 20.0 4.0
29 20.0 8.0 24.0 8.0 20.0 4.0 24.0 4.0
30 0.0 4.0 4.0 4.0 0.0 0.0 4.0 0.0
31 4.0 4.0 8.0 4.0 4.0 0.0 8.0 0.0
32 8.0 4.0 12.0 4.0 8.0 0.0 12.0 0.0
33 12.0 4.0 16.0 4.0 12.0 0.0 16.0 0.0
34 16.0 4.0 20.0 4.0 16.0 0.0 20.0 0.0
35 20.0 4.0 24.0 4.0 20.0 0.0 24.0 0.0
