location capacity Xf Yf
1 126.84 3.246 1.965
2 42.28 8.371 17.659
3 169.13 9.052 14.887
4 169.13 1.388 22.988
5 169.13 23.24 17.56
6 126.84 12.727 3.597
7 84.56 7.286 14.252
8 42.28 11.384 11.081
9 211.41 12.636 16.629
10 42.28 15.483 23.095
11 42.28 4.741 5.519
12 84.56 12.19 1.143
13 169.13 9.825 6.182
14 42.28 7.062 15.747
15 84.56 13.668 5.622
16 42.28 3.529 21.993
17 42.28 16.334 0.677
18 126.84 17.377 11.016
19 169.13 5.143 12.867
20 84.56 4.543 1.197
21 84.56 16.404 18.446
22 84.56 20.801 11.423
23 126.84 20.389 20.862
24 211.41 0.614 1.764
25 42.28 21.363 22.793
26 42.28 2.754 2.979
27 169.13 13.984 17.71
28 211.41 23.764 13.133
29 169.13 21.722 8.897
30 126.84 3.932 13.586
31 84.56 23.196 3.071
32 211.41 2.008 1.442
33 126.84 6.458 6.235
34 169.13 20.998 21.831
35 211.41 17.013 5.54
36 169.13 4.473 0.654
37 169.13 10.229 6.046
38 126.84 15.859 6.672
39 126.84 5.795 15.444
40 84.56 21.165 2.938
41 211.41 3.245 20.788
42 84.56 21.503 13.106
43 84.56 3.583 11.68
44 84.56 17.09 14.967
45 126.84 12.37 17.126
46 42.28 11.864 12.076
47 211.41 10.26 5.979
48 169.13 1.003 7.289
49 169.13 10.18 20.079
50 42.28 0.767 4.07
51 211.41 9.366 19.637
52 84.56 14.387 16.233
53 42.28 9.718 6.115
54 84.56 23.48 12.597
55 169.13 13.239 3.26
56 42.28 7.481 0.599
57 126.84 8.583 23.508
58 84.56 2.382 15.123
59 126.84 4.051 2.563
60 211.41 7.259 16.416
61 84.56 2.747 15.615
62 126.84 11.241 16.798
63 211.41 4.696 1.037
64 42.28 10.89 11.434
65 84.56 14.479 3.711
66 126.84 23.578 13.511
67 84.56 17.985 9.081
68 211.41 19.459 8.671
69 84.56 6.068 14.779
70 84.56 16.088 10.415
71 84.56 9.864 11.263
72 169.13 16.667 23.576
73 84.56 23.475 22.607
74 211.41 23.629 21.659
75 169.13 22.119 22.808
76 169.13 17.271 9.625
77 84.56 12.779 1.258
78 169.13 2.309 2.718
79 126.84 16.132 21.109
80 211.41 14.358 1.178
81 126.84 8.754 20.686
82 169.13 21.678 6.023
83 126.84 16.9 13.86
84 84.56 6.813 14.108
85 84.56 5.445 20.864
86 84.56 6.073 2.76
87 211.41 4.094 10.429
88 211.41 11.67 6.606
89 211.41 4.969 22.055
90 126.84 23.55 8.088
91 169.13 0.963 19.895
92 84.56 7.5 6.585
93 84.56 15.558 1.355
94 169.13 19.694 9.712
95 42.28 20.739 12.462
96 211.41 22.115 10.816
97 126.84 15.549 20.679
98 211.41 3.919 22.581
99 42.28 3.113 13.579
100 211.41 10.924 16.895
101 211.41 7.112 17.364
102 169.13 6.502 12.152
103 211.41 7.848 11.75
104 84.56 8.488 14.172
105 126.84 16.224 15.446
106 42.28 21.486 21.812
107 84.56 6.577 5.245
108 42.28 21.929 18.073
109 211.41 20.491 9.306
110 126.84 19.979 3.086
111 84.56 15.543 5.605
112 42.28 2.975 0.424
113 42.28 6.377 4.915
114 84.56 16.832 3.245
115 211.41 3.011 18.157
116 211.41 17.137 1.743
117 169.13 17.035 13.239
118 169.13 20.151 9.942
119 169.13 22.164 5.044
120 84.56 15.585 11.576
121 84.56 17.345 3.483
122 126.84 2.972 21.871
123 126.84 10.983 8.288
124 84.56 0.716 18.469
125 84.56 13.078 0.968
126 42.28 5.984 1.288
127 211.41 22.987 21.318
128 42.28 11.326 18.083
129 211.41 13.225 6.206
130 126.84 14.077 11.046
131 169.13 0.232 13.89
132 126.84 19.025 18.463
133 84.56 10.468 17.758
134 42.28 1.841 15.835
135 169.13 8.784 7.251
136 211.41 17.825 18.892
137 126.84 8.825 22.894
138 84.56 9.865 22.955
139 84.56 1.903 8.3
140 169.13 6.306 17.022
141 84.56 8.462 11.893
142 84.56 0.221 21.837
143 42.28 21.483 5.276
144 211.41 17.455 1.46
145 211.41 6.808 12.836
146 169.13 8.963 18.805
147 211.41 8.08 17.607
148 169.13 18.629 12.162
149 42.28 6.411 1.729
150 84.56 2.7 23.567
151 126.84 1.605 19.347
152 211.41 2.6 5.862
153 211.41 21.625 0.337
154 84.56 12.647 7.707
155 169.13 23.729 10.813
156 126.84 1.027 8.086
157 211.41 12.704 23.249
158 42.28 10.948 5.67
159 42.28 9.857 0.326
160 42.28 13.607 7.751
161 211.41 22.841 18.694
162 126.84 20.318 15.963
163 126.84 9.191 17.929
164 169.13 16.964 3.058
165 42.28 10.6 11.085
166 84.56 13.396 10.852
167 126.84 4.56 21.292
168 42.28 19.402 7.563
169 169.13 7.007 10.283
170 84.56 18.722 10.467
171 42.28 15.897 6.973
172 126.84 23.006 9.653
173 42.28 2.908 17.494
174 211.41 13.294 21.807
175 211.41 17.178 2.209
176 211.41 13.418 19.156
177 211.41 18.787 12.383
178 211.41 10.727 4.864
179 126.84 15.781 20.815
180 42.28 17.345 8.549
181 42.28 9.323 15.403
182 169.13 8.878 21.265
183 42.28 23.532 12.886
184 211.41 4.714 17.181
185 42.28 10.155 17.44
186 42.28 2.601 12.29
187 169.13 22.712 8.828
188 211.41 14.561 13.115
189 169.13 11.182 1.651
190 126.84 11.31 0.714
191 211.41 8.03 13.667
192 169.13 17.539 15.944
193 42.28 1.487 10.993
194 169.13 0.501 8.273
195 84.56 19.913 20.412
196 42.28 1.301 12.874
197 169.13 19.549 12.107
198 169.13 14.979 2.902
199 211.41 15.682 17.453
200 84.56 15.842 22.972
201 169.13 15.457 19.651
202 42.28 16.746 17.952
203 42.28 4.437 9.565
204 42.28 4.974 18.07
205 84.56 22.234 2.963
206 169.13 20.72 21.969
207 211.41 23.189 3.23
208 42.28 10.965 13.78
209 84.56 7.196 13.354
210 211.41 16.23 8.37
211 84.56 19.627 18.921
212 169.13 13.816 14.416
213 42.28 19.429 21.582
214 126.84 14.228 1.448
215 42.28 10.679 6.983
216 211.41 21.507 23.558
217 211.41 10.888 18.155
