subarea p1x p1y p2x p2y p3x p3y p4x p4y
0 0.0 24.0 6.0 24.0 0.0 18.0 6.0 18.0
1 6.0 24.0 12.0 24.0 6.0 18.0 12.0 18.0
2 12.0 24.0 18.0 24.0 12.0 18.0 18.0 18.0
3 18.0 24.0 24.0 24.0 18.0 18.0 24.0 18.0
4 0.0 18.0 6.0 18.0 0.0 12.0 6.0 12.0
5 6.0 18.0 12.0 18.0 6.0 12.0 12.0 12.0
6 12.0 18.0 18.0 18.0 12.0 12.0 18.0 12.0
7 18.0 18.0 24.0 18.0 18.0 12.0 24.0 12.0
8 0.0 12.0 6.0 12.0 0.0 6.0 6.0 6.0
9 6.0 12.0 12.0 12.0 6.0 6.0 12.0 6.0
10 12.0 12.0 18.0 12.0 12.0 6.0 18.0 6.0
11 18.0 12.0 24.0 12.0 18.0 6.0 24.0 6.0
12 0.0 6.0 6.0 6.0 0.0 0.0 6.0 0.0
13 6.0 6.0 12.0 6.0 6.0 0.0 12.0 0.0
14 12.0 6.0 18.0 6.0 12.0 0.0 18.0 0.0
15 18.0 6.0 24.0 6.0 18.0 0.0 24.0 0.0
