customer weight Xc Yc
1 1.0 0.5 23.5
2 1.0 1.5 23.5
3 1.0 2.5 23.5
4 1.193 3.5 23.5
5 1.116 4.5 23.5
6 1.043 5.5 23.5
7 1.353 6.5 23.5
8 2.885 7.5 23.5
9 1.135 8.5 23.5
10 3.772 9.5 23.5
11 3.649 10.5 23.5
12 3.217 11.5 23.5
13 4.949 12.5 23.5
14 5.563 13.5 23.5
15 6.0 14.5 23.5
16 5.827 15.5 23.5
17 4.168 16.5 23.5
18 3.098 17.5 23.5
19 1.62 18.5 23.5
20 1.0 19.5 23.5
21 1.0 20.5 23.5
22 1.0 21.5 23.5
23 1.0 22.5 23.5
24 1.0 23.5 23.5
25 1.0 0.5 22.5
26 1.0 1.5 22.5
27 1.0 2.5 22.5
28 1.063 3.5 22.5
29 1.504 4.5 22.5
30 1.211 5.5 22.5
31 2.072 6.5 22.5
32 1.468 7.5 22.5
33 3.084 8.5 22.5
34 2.009 9.5 22.5
35 4.462 10.5 22.5
36 4.876 11.5 22.5
37 5.154 12.5 22.5
38 5.502 13.5 22.5
39 5.349 14.5 22.5
40 5.868 15.5 22.5
41 4.057 16.5 22.5
42 2.817 17.5 22.5
43 2.708 18.5 22.5
44 2.221 19.5 22.5
45 1.491 20.5 22.5
46 1.474 21.5 22.5
47 1.0 22.5 22.5
48 1.0 23.5 22.5
49 1.0 0.5 21.5
50 1.0 1.5 21.5
51 1.0 2.5 21.5
52 1.324 3.5 21.5
53 1.0 4.5 21.5
54 1.957 5.5 21.5
55 1.035 6.5 21.5
56 2.371 7.5 21.5
57 2.25 8.5 21.5
58 3.673 9.5 21.5
59 3.49 10.5 21.5
60 4.831 11.5 21.5
61 3.622 12.5 21.5
62 5.252 13.5 21.5
63 3.027 14.5 21.5
64 5.215 15.5 21.5
65 4.624 16.5 21.5
66 3.297 17.5 21.5
67 1.698 18.5 21.5
68 1.648 19.5 21.5
69 1.806 20.5 21.5
70 1.103 21.5 21.5
71 1.0 22.5 21.5
72 1.0 23.5 21.5
73 1.0 0.5 20.5
74 1.0 1.5 20.5
75 1.0 2.5 20.5
76 1.0 3.5 20.5
77 1.222 4.5 20.5
78 1.0 5.5 20.5
79 1.67 6.5 20.5
80 1.192 7.5 20.5
81 2.285 8.5 20.5
82 2.781 9.5 20.5
83 3.778 10.5 20.5
84 4.492 11.5 20.5
85 3.008 12.5 20.5
86 4.93 13.5 20.5
87 4.601 14.5 20.5
88 3.996 15.5 20.5
89 2.608 16.5 20.5
90 3.073 17.5 20.5
91 2.196 18.5 20.5
92 1.852 19.5 20.5
93 1.447 20.5 20.5
94 1.319 21.5 20.5
95 1.135 22.5 20.5
96 1.0 23.5 20.5
97 1.0 0.5 19.5
98 1.0 1.5 19.5
99 1.0 2.5 19.5
100 1.203 3.5 19.5
101 1.0 4.5 19.5
102 1.031 5.5 19.5
103 1.0 6.5 19.5
104 1.804 7.5 19.5
105 1.41 8.5 19.5
106 3.063 9.5 19.5
107 3.228 10.5 19.5
108 3.872 11.5 19.5
109 3.334 12.5 19.5
110 3.911 13.5 19.5
111 3.685 14.5 19.5
112 3.528 15.5 19.5
113 3.545 16.5 19.5
114 1.827 17.5 19.5
115 1.705 18.5 19.5
116 1.53 19.5 19.5
117 1.631 20.5 19.5
118 1.493 21.5 19.5
119 1.48 22.5 19.5
120 1.2 23.5 19.5
121 1.0 0.5 18.5
122 1.0 1.5 18.5
123 1.182 2.5 18.5
124 1.0 3.5 18.5
125 1.0 4.5 18.5
126 1.0 5.5 18.5
127 1.346 6.5 18.5
128 1.132 7.5 18.5
129 1.624 8.5 18.5
130 2.321 9.5 18.5
131 3.271 10.5 18.5
132 2.453 11.5 18.5
133 3.161 12.5 18.5
134 2.703 13.5 18.5
135 2.729 14.5 18.5
136 1.935 15.5 18.5
137 2.772 16.5 18.5
138 2.438 17.5 18.5
139 1.238 18.5 18.5
140 1.0 19.5 18.5
141 1.565 20.5 18.5
142 1.524 21.5 18.5
143 1.11 22.5 18.5
144 1.0 23.5 18.5
145 1.0 0.5 17.5
146 1.053 1.5 17.5
147 1.0 2.5 17.5
148 1.0 3.5 17.5
149 1.0 4.5 17.5
150 1.0 5.5 17.5
151 1.0 6.5 17.5
152 1.587 7.5 17.5
153 2.287 8.5 17.5
154 1.692 9.5 17.5
155 2.551 10.5 17.5
156 2.731 11.5 17.5
157 2.701 12.5 17.5
158 2.971 13.5 17.5
159 2.208 14.5 17.5
160 2.146 15.5 17.5
161 1.781 16.5 17.5
162 2.666 17.5 17.5
163 1.637 18.5 17.5
164 1.0 19.5 17.5
165 1.107 20.5 17.5
166 1.023 21.5 17.5
167 1.14 22.5 17.5
168 1.072 23.5 17.5
169 1.0 0.5 16.5
170 1.0 1.5 16.5
171 1.0 2.5 16.5
172 1.0 3.5 16.5
173 1.0 4.5 16.5
174 1.0 5.5 16.5
175 1.046 6.5 16.5
176 1.175 7.5 16.5
177 1.475 8.5 16.5
178 2.529 9.5 16.5
179 2.544 10.5 16.5
180 2.684 11.5 16.5
