subarea p1x p1y p2x p2y p3x p3y p4x p4y
1 0.0 24.0 2.0 24.0 0.0 22.0 2.0 22.0
2 2.0 24.0 4.0 24.0 2.0 22.0 4.0 22.0
3 4.0 24.0 6.0 24.0 4.0 22.0 6.0 22.0
4 6.0 24.0 8.0 24.0 6.0 22.0 8.0 22.0
5 8.0 24.0 10.0 24.0 8.0 22.0 10.0 22.0
6 10.0 24.0 12.0 24.0 10.0 22.0 12.0 22.0
7 12.0 24.0 14.0 24.0 12.0 22.0 14.0 22.0
8 14.0 24.0 16.0 24.0 14.0 22.0 16.0 22.0
9 16.0 24.0 18.0 24.0 16.0 22.0 18.0 22.0
10 18.0 24.0 20.0 24.0 18.0 22.0 20.0 22.0
11 20.0 24.0 22.0 24.0 20.0 22.0 22.0 22.0
12 22.0 24.0 24.0 24.0 22.0 22.0 24.0 22.0
13 0.0 22.0 2.0 22.0 0.0 20.0 2.0 20.0
14 2.0 22.0 4.0 22.0 2.0 20.0 4.0 20.0
15 4.0 22.0 6.0 22.0 4.0 20.0 6.0 20.0
16 6.0 22.0 8.0 22.0 6.0 20.0 8.0 20.0
17 8.0 22.0 10.0 22.0 8.0 20.0 10.0 20.0
18 10.0 22.0 12.0 22.0 10.0 20.0 12.0 20.0
19 12.0 22.0 14.0 22.0 12.0 20.0 14.0 20.0
20 14.0 22.0 16.0 22.0 14.0 20.0 16.0 20.0
21 16.0 22.0 18.0 22.0 16.0 20.0 18.0 20.0
22 18.0 22.0 20.0 22.0 18.0 20.0 20.0 20.0
23 20.0 22.0 22.0 22.0 20.0 20.0 22.0 20.0
24 22.0 22.0 24.0 22.0 22.0 20.0 24.0 20.0
25 0.0 20.0 2.0 20.0 0.0 18.0 2.0 18.0
26 2.0 20.0 4.0 20.0 2.0 18.0 4.0 18.0
27 4.0 20.0 6.0 20.0 4.0 18.0 6.0 18.0
28 6.0 20.0 8.0 20.0 6.0 18.0 8.0 18.0
29 8.0 20.0 10.0 20.0 8.0 18.0 10.0 18.0
30 10.0 20.0 12.0 20.0 10.0 18.0 12.0 18.0
31 12.0 20.0 14.0 20.0 12.0 18.0 14.0 18.0
32 14.0 20.0 16.0 20.0 14.0 18.0 16.0 18.0
33 16.0 20.0 18.0 20.0 16.0 18.0 18.0 18.0
34 18.0 20.0 20.0 20.0 18.0 18.0 20.0 18.0
35 20.0 20.0 22.0 20.0 20.0 18.0 22.0 18.0
36 22.0 20.0 24.0 20.0 22.0 18.0 24.0 18.0
37 0.0 18.0 2.0 18.0 0.0 16.0 2.0 16.0
38 2.0 18.0 4.0 18.0 2.0 16.0 4.0 16.0
39 4.0 18.0 6.0 18.0 4.0 16.0 6.0 16.0
40 6.0 18.0 8.0 18.0 6.0 16.0 8.0 16.0
41 8.0 18.0 10.0 18.0 8.0 16.0 10.0 16.0
42 10.0 18.0 12.0 18.0 10.0 16.0 12.0 16.0
43 12.0 18.0 14.0 18.0 12.0 16.0 14.0 16.0
44 14.0 18.0 16.0 18.0 14.0 16.0 16.0 16.0
45 16.0 18.0 18.0 18.0 16.0 16.0 18.0 16.0
46 18.0 18.0 20.0 18.0 18.0 16.0 20.0 16.0
47 20.0 18.0 22.0 18.0 20.0 16.0 22.0 16.0
48 22.0 18.0 24.0 18.0 22.0 16.0 24.0 16.0
