subarea p1x p1y p2x p2y p3x p3y p4x p4y
0 0.0 36.0 4.0 36.0 0.0 32.0 4.0 32.0
1 4.0 36.0 8.0 36.0 4.0 32.0 8.0 32.0
2 8.0 36.0 12.0 36.0 8.0 32.0 12.0 32.0
3 12.0 36.0 16.0 36.0 12.0 32.0 16.0 32.0
4 16.0 36.0 20.0 36.0 16.0 32.0 20.0 32.0
5 20.0 36.0 24.0 36.0 20.0 32.0 24.0 32.0
6 24.0 36.0 28.0 36.0 24.0 32.0 28.0 32.0
7 28.0 36.0 32.0 36.0 28.0 32.0 32.0 32.0
8 32.0 36.0 36.0 36.0 32.0 32.0 36.0 32.0
9 0.0 32.0 4.0 32.0 0.0 28.0 4.0 28.0
10 4.0 32.0 8.0 32.0 4.0 28.0 8.0 28.0
11 8.0 32.0 12.0 32.0 8.0 28.0 12.0 28.0
12 12.0 32.0 16.0 32.0 12.0 28.0 16.0 28.0
13 16.0 32.0 20.0 32.0 16.0 28.0 20.0 28.0
14 20.0 32.0 24.0 32.0 20.0 28.0 24.0 28.0
15 24.0 32.0 28.0 32.0 24.0 28.0 28.0 28.0
16 28.0 32.0 32.0 32.0 28.0 28.0 32.0 28.0
17 32.0 32.0 36.0 32.0 32.0 28.0 36.0 28.0
18 0.0 28.0 4.0 28.0 0.0 24.0 4.0 24.0
19 4.0 28.0 8.0 28.0 4.0 24.0 8.0 24.0
20 8.0 28.0 12.0 28.0 8.0 24.0 12.0 24.0
21 12.0 28.0 16.0 28.0 12.0 24.0 16.0 24.0
22 16.0 28.0 20.0 28.0 16.0 24.0 20.0 24.0
23 20.0 28.0 24.0 28.0 20.0 24.0 24.0 24.0
24 24.0 28.0 28.0 28.0 24.0 24.0 28.0 24.0
25 28.0 28.0 32.0 28.0 28.0 24.0 32.0 24.0
26 32.0 28.0 36.0 28.0 32.0 24.0 36.0 24.0
27 0.0 24.0 4.0 24.0 0.0 20.0 4.0 20.0
28 4.0 24.0 8.0 24.0 4.0 20.0 8.0 20.0
29 8.0 24.0 12.0 24.0 8.0 20.0 12.0 20.0
30 12.0 24.0 16.0 24.0 12.0 20.0 16.0 20.0
31 16.0 24.0 20.0 24.0 16.0 20.0 20.0 20.0
32 20.0 24.0 24.0 24.0 20.0 20.0 24.0 20.0
33 24.0 24.0 28.0 24.0 24.0 20.0 28.0 20.0
34 28.0 24.0 32.0 24.0 28.0 20.0 32.0 20.0
35 32.0 24.0 36.0 24.0 32.0 20.0 36.0 20.0
36 0.0 20.0 4.0 20.0 0.0 16.0 4.0 16.0
37 4.0 20.0 8.0 20.0 4.0 16.0 8.0 16.0
38 8.0 20.0 12.0 20.0 8.0 16.0 12.0 16.0
39 12.0 20.0 16.0 20.0 12.0 16.0 16.0 16.0
40 16.0 20.0 20.0 20.0 16.0 16.0 20.0 16.0
41 20.0 20.0 24.0 20.0 20.0 16.0 24.0 16.0
42 24.0 20.0 28.0 20.0 24.0 16.0 28.0 16.0
43 28.0 20.0 32.0 20.0 28.0 16.0 32.0 16.0
44 32.0 20.0 36.0 20.0 32.0 16.0 36.0 16.0
45 0.0 16.0 4.0 16.0 0.0 12.0 4.0 12.0
46 4.0 16.0 8.0 16.0 4.0 12.0 8.0 12.0
47 8.0 16.0 12.0 16.0 8.0 12.0 12.0 12.0
48 12.0 16.0 16.0 16.0 12.0 12.0 16.0 12.0
49 16.0 16.0 20.0 16.0 16.0 12.0 20.0 12.0
50 20.0 16.0 24.0 16.0 20.0 12.0 24.0 12.0
51 24.0 16.0 28.0 16.0 24.0 12.0 28.0 12.0
52 28.0 16.0 32.0 16.0 28.0 12.0 32.0 12.0
53 32.0 16.0 36.0 16.0 32.0 12.0 36.0 12.0
54 0.0 12.0 4.0 12.0 0.0 8.0 4.0 8.0
55 4.0 12.0 8.0 12.0 4.0 8.0 8.0 8.0
56 8.0 12.0 12.0 12.0 8.0 8.0 12.0 8.0
57 12.0 12.0 16.0 12.0 12.0 8.0 16.0 8.0
58 16.0 12.0 20.0 12.0 16.0 8.0 20.0 8.0
59 20.0 12.0 24.0 12.0 20.0 8.0 24.0 8.0
60 24.0 12.0 28.0 12.0 24.0 8.0 28.0 8.0
61 28.0 12.0 32.0 12.0 28.0 8.0 32.0 8.0
62 32.0 12.0 36.0 12.0 32.0 8.0 36.0 8.0
63 0.0 8.0 4.0 8.0 0.0 4.0 4.0 4.0
64 4.0 8.0 8.0 8.0 4.0 4.0 8.0 4.0
65 8.0 8.0 12.0 8.0 8.0 4.0 12.0 4.0
66 12.0 8.0 16.0 8.0 12.0 4.0 16.0 4.0
67 16.0 8.0 20.0 8.0 16.0 4.0 20.0 4.0
68 20.0 8.0 24.0 8.0 20.0 4.0 24.0 4.0
69 24.0 8.0 28.0 8.0 24.0 4.0 28.0 4.0
70 28.0 8.0 32.0 8.0 28.0 4.0 32.0 4.0
71 32.0 8.0 36.0 8.0 32.0 4.0 36.0 4.0
72 0.0 4.0 4.0 4.0 0.0 0.0 4.0 0.0
73 4.0 4.0 8.0 4.0 4.0 0.0 8.0 0.0
74 8.0 4.0 12.0 4.0 8.0 0.0 12.0 0.0
75 12.0 4.0 16.0 4.0 12.0 0.0 16.0 0.0
76 16.0 4.0 20.0 4.0 16.0 0.0 20.0 0.0
77 20.0 4.0 24.0 4.0 20.0 0.0 24.0 0.0
78 24.0 4.0 28.0 4.0 24.0 0.0 28.0 0.0
79 28.0 4.0 32.0 4.0 28.0 0.0 32.0 0.0
80 32.0 4.0 36.0 4.0 32.0 0.0 36.0 0.0
