location capacity Xf Yf
1 12.13 33.248 34.062
2 4.85 7.674 27.733
3 4.85 24.348 31.481
4 9.71 17.736 22.712
5 4.85 24.787 22.72
6 12.13 11.091 27.001
7 2.43 0.504 25.93
8 7.28 6.012 31.606
9 2.43 29.373 26.002
10 9.71 26.029 1.831
11 9.71 29.875 8.908
12 7.28 11.518 34.551
13 7.28 32.657 28.131
14 12.13 26.507 32.694
15 12.13 6.688 8.576
16 9.71 13.637 28.347
17 12.13 2.946 9.269
18 4.85 22.813 33.22
19 4.85 30.97 11.871
20 7.28 15.623 17.834
21 4.85 10.397 17.165
22 12.13 18.997 25.681
23 9.71 24.848 22.001
24 7.28 20.656 8.102
25 4.85 23.183 5.116
26 9.71 2.296 26.803
27 9.71 30.151 16.378
28 7.28 7.285 29.625
29 9.71 34.946 19.873
30 2.43 24.623 3.633
31 7.28 26.071 25.777
32 2.43 0.378 10.64
33 4.85 16.178 3.393
34 4.85 11.806 9.317
35 12.13 8.918 13.143
36 12.13 7.265 3.544
37 2.43 27.094 16.766
38 9.71 13.931 28.571
39 9.71 34.345 21.27
40 4.85 14.81 21.155
41 7.28 2.425 31.593
42 9.71 31.712 28.773
43 4.85 1.418 24.482
44 12.13 11.134 6.864
45 12.13 22.051 20.573
46 12.13 35.656 22.714
47 9.71 13.692 4.151
48 4.85 7.598 23.779
49 2.43 8.994 35.595
50 12.13 14.564 10.358
51 4.85 9.773 31.729
52 9.71 34.509 18.902
53 9.71 28.468 17.596
54 12.13 34.757 0.679
55 12.13 7.95 12.575
56 12.13 27.889 9.595
57 4.85 28.148 28.62
58 12.13 12.886 19.874
59 4.85 15.234 27.954
60 7.28 31.017 16.351
61 2.43 2.366 20.422
62 7.28 16.751 29.996
63 2.43 28.67 34.4
64 2.43 0.684 12.185
65 7.28 24.027 20.055
66 9.71 24.937 27.5
67 12.13 27.841 13.73
68 12.13 13.555 12.685
69 9.71 6.001 21.385
70 12.13 8.142 22.211
71 4.85 27.177 28.295
72 12.13 34.248 30.84
73 12.13 8.191 20.05
74 7.28 17.467 32.923
75 9.71 3.946 32.442
76 9.71 14.582 20.89
77 7.28 28.126 1.68
78 2.43 27.865 17.732
79 7.28 16.848 21.591
80 9.71 1.932 9.353
81 7.28 22.895 23.447
82 4.85 24.167 24.889
83 2.43 35.424 30.299
84 9.71 5.799 22.677
85 7.28 9.518 27.452
86 9.71 19.357 30.912
87 12.13 4.713 4.242
88 4.85 4.668 11.351
89 9.71 15.45 23.587
90 7.28 24.774 1.639
91 9.71 34.442 20.807
92 9.71 3.68 21.955
93 4.85 26.632 25.539
94 2.43 1.979 16.724
95 9.71 2.438 27.887
96 2.43 13.239 15.112
97 7.28 26.607 19.629
98 2.43 1.7 7.647
99 2.43 34.7 19.342
100 12.13 9.797 7.005
101 7.28 4.609 17.877
102 4.85 3.761 20.485
103 4.85 35.592 19.608
104 7.28 15.138 25.113
105 12.13 14.821 20.758
106 12.13 20.083 24.178
107 7.28 9.209 4.879
108 7.28 35.511 33.291
109 2.43 22.305 15.155
110 9.71 24.243 9.299
111 4.85 33.791 0.536
112 7.28 13.355 28.653
113 9.71 20.329 9.473
114 7.28 4.434 5.013
115 12.13 30.866 18.657
116 12.13 15.113 31.798
117 12.13 8.046 19.379
118 7.28 32.902 5.414
119 12.13 32.676 31.82
120 9.71 15.075 10.892
121 7.28 35.481 0.627
122 9.71 25.457 31.549
123 2.43 24.799 27.163
124 12.13 27.979 12.201
125 9.71 18.498 8.713
126 12.13 23.67 11.92
