subarea p1x p1y p2x p2y p3x p3y p4x p4y
1 0.0 36.0 2.0 36.0 0.0 34.0 2.0 34.0
2 2.0 36.0 4.0 36.0 2.0 34.0 4.0 34.0
3 4.0 36.0 6.0 36.0 4.0 34.0 6.0 34.0
4 6.0 36.0 8.0 36.0 6.0 34.0 8.0 34.0
5 8.0 36.0 10.0 36.0 8.0 34.0 10.0 34.0
6 10.0 36.0 12.0 36.0 10.0 34.0 12.0 34.0
7 12.0 36.0 14.0 36.0 12.0 34.0 14.0 34.0
8 14.0 36.0 16.0 36.0 14.0 34.0 16.0 34.0
9 16.0 36.0 18.0 36.0 16.0 34.0 18.0 34.0
10 18.0 36.0 20.0 36.0 18.0 34.0 20.0 34.0
11 20.0 36.0 22.0 36.0 20.0 34.0 22.0 34.0
12 22.0 36.0 24.0 36.0 22.0 34.0 24.0 34.0
13 24.0 36.0 26.0 36.0 24.0 34.0 26.0 34.0
14 26.0 36.0 28.0 36.0 26.0 34.0 28.0 34.0
15 28.0 36.0 30.0 36.0 28.0 34.0 30.0 34.0
16 30.0 36.0 32.0 36.0 30.0 34.0 32.0 34.0
17 32.0 36.0 34.0 36.0 32.0 34.0 34.0 34.0
18 34.0 36.0 36.0 36.0 34.0 34.0 36.0 34.0
19 0.0 34.0 2.0 34.0 0.0 32.0 2.0 32.0
20 2.0 34.0 4.0 34.0 2.0 32.0 4.0 32.0
21 4.0 34.0 6.0 34.0 4.0 32.0 6.0 32.0
22 6.0 34.0 8.0 34.0 6.0 32.0 8.0 32.0
23 8.0 34.0 10.0 34.0 8.0 32.0 10.0 32.0
24 10.0 34.0 12.0 34.0 10.0 32.0 12.0 32.0
25 12.0 34.0 14.0 34.0 12.0 32.0 14.0 32.0
26 14.0 34.0 16.0 34.0 14.0 32.0 16.0 32.0
27 16.0 34.0 18.0 34.0 16.0 32.0 18.0 32.0
28 18.0 34.0 20.0 34.0 18.0 32.0 20.0 32.0
29 20.0 34.0 22.0 34.0 20.0 32.0 22.0 32.0
30 22.0 34.0 24.0 34.0 22.0 32.0 24.0 32.0
31 24.0 34.0 26.0 34.0 24.0 32.0 26.0 32.0
32 26.0 34.0 28.0 34.0 26.0 32.0 28.0 32.0
33 28.0 34.0 30.0 34.0 28.0 32.0 30.0 32.0
34 30.0 34.0 32.0 34.0 30.0 32.0 32.0 32.0
35 32.0 34.0 34.0 34.0 32.0 32.0 34.0 32.0
36 34.0 34.0 36.0 34.0 34.0 32.0 36.0 32.0
37 0.0 32.0 2.0 32.0 0.0 30.0 2.0 30.0
38 2.0 32.0 4.0 32.0 2.0 30.0 4.0 30.0
39 4.0 32.0 6.0 32.0 4.0 30.0 6.0 30.0
40 6.0 32.0 8.0 32.0 6.0 30.0 8.0 30.0
41 8.0 32.0 10.0 32.0 8.0 30.0 10.0 30.0
42 10.0 32.0 12.0 32.0 10.0 30.0 12.0 30.0
43 12.0 32.0 14.0 32.0 12.0 30.0 14.0 30.0
44 14.0 32.0 16.0 32.0 14.0 30.0 16.0 30.0
45 16.0 32.0 18.0 32.0 16.0 30.0 18.0 30.0
46 18.0 32.0 20.0 32.0 18.0 30.0 20.0 30.0
47 20.0 32.0 22.0 32.0 20.0 30.0 22.0 30.0
48 22.0 32.0 24.0 32.0 22.0 30.0 24.0 30.0
49 24.0 32.0 26.0 32.0 24.0 30.0 26.0 30.0
50 26.0 32.0 28.0 32.0 26.0 30.0 28.0 30.0
51 28.0 32.0 30.0 32.0 28.0 30.0 30.0 30.0
52 30.0 32.0 32.0 32.0 30.0 30.0 32.0 30.0
53 32.0 32.0 34.0 32.0 32.0 30.0 34.0 30.0
54 34.0 32.0 36.0 32.0 34.0 30.0 36.0 30.0
55 0.0 30.0 2.0 30.0 0.0 28.0 2.0 28.0
56 2.0 30.0 4.0 30.0 2.0 28.0 4.0 28.0
57 4.0 30.0 6.0 30.0 4.0 28.0 6.0 28.0
58 6.0 30.0 8.0 30.0 6.0 28.0 8.0 28.0
59 8.0 30.0 10.0 30.0 8.0 28.0 10.0 28.0
60 10.0 30.0 12.0 30.0 10.0 28.0 12.0 28.0
61 12.0 30.0 14.0 30.0 12.0 28.0 14.0 28.0
62 14.0 30.0 16.0 30.0 14.0 28.0 16.0 28.0
63 16.0 30.0 18.0 30.0 16.0 28.0 18.0 28.0
64 18.0 30.0 20.0 30.0 18.0 28.0 20.0 28.0
65 20.0 30.0 22.0 30.0 20.0 28.0 22.0 28.0
66 22.0 30.0 24.0 30.0 22.0 28.0 24.0 28.0
67 24.0 30.0 26.0 30.0 24.0 28.0 26.0 28.0
68 26.0 30.0 28.0 30.0 26.0 28.0 28.0 28.0
69 28.0 30.0 30.0 30.0 28.0 28.0 30.0 28.0
70 30.0 30.0 32.0 30.0 30.0 28.0 32.0 28.0
71 32.0 30.0 34.0 30.0 32.0 28.0 34.0 28.0
