subarea p1x p1y p2x p2y p3x p3y p4x p4y
0 0.0 48.0 4.0 48.0 0.0 44.0 4.0 44.0
1 4.0 48.0 8.0 48.0 4.0 44.0 8.0 44.0
2 8.0 48.0 12.0 48.0 8.0 44.0 12.0 44.0
3 12.0 48.0 16.0 48.0 12.0 44.0 16.0 44.0
4 16.0 48.0 20.0 48.0 16.0 44.0 20.0 44.0
5 20.0 48.0 24.0 48.0 20.0 44.0 24.0 44.0
6 24.0 48.0 28.0 48.0 24.0 44.0 28.0 44.0
7 28.0 48.0 32.0 48.0 28.0 44.0 32.0 44.0
8 32.0 48.0 36.0 48.0 32.0 44.0 36.0 44.0
9 36.0 48.0 40.0 48.0 36.0 44.0 40.0 44.0
10 40.0 48.0 44.0 48.0 40.0 44.0 44.0 44.0
11 44.0 48.0 48.0 48.0 44.0 44.0 48.0 44.0
12 0.0 44.0 4.0 44.0 0.0 40.0 4.0 40.0
13 4.0 44.0 8.0 44.0 4.0 40.0 8.0 40.0
14 8.0 44.0 12.0 44.0 8.0 40.0 12.0 40.0
15 12.0 44.0 16.0 44.0 12.0 40.0 16.0 40.0
16 16.0 44.0 20.0 44.0 16.0 40.0 20.0 40.0
17 20.0 44.0 24.0 44.0 20.0 40.0 24.0 40.0
18 24.0 44.0 28.0 44.0 24.0 40.0 28.0 40.0
19 28.0 44.0 32.0 44.0 28.0 40.0 32.0 40.0
20 32.0 44.0 36.0 44.0 32.0 40.0 36.0 40.0
21 36.0 44.0 40.0 44.0 36.0 40.0 40.0 40.0
22 40.0 44.0 44.0 44.0 40.0 40.0 44.0 40.0
23 44.0 44.0 48.0 44.0 44.0 40.0 48.0 40.0
24 0.0 40.0 4.0 40.0 0.0 36.0 4.0 36.0
25 4.0 40.0 8.0 40.0 4.0 36.0 8.0 36.0
26 8.0 40.0 12.0 40.0 8.0 36.0 12.0 36.0
27 12.0 40.0 16.0 40.0 12.0 36.0 16.0 36.0
28 16.0 40.0 20.0 40.0 16.0 36.0 20.0 36.0
29 20.0 40.0 24.0 40.0 20.0 36.0 24.0 36.0
30 24.0 40.0 28.0 40.0 24.0 36.0 28.0 36.0
31 28.0 40.0 32.0 40.0 28.0 36.0 32.0 36.0
32 32.0 40.0 36.0 40.0 32.0 36.0 36.0 36.0
33 36.0 40.0 40.0 40.0 36.0 36.0 40.0 36.0
34 40.0 40.0 44.0 40.0 40.0 36.0 44.0 36.0
35 44.0 40.0 48.0 40.0 44.0 36.0 48.0 36.0
36 0.0 36.0 4.0 36.0 0.0 32.0 4.0 32.0
37 4.0 36.0 8.0 36.0 4.0 32.0 8.0 32.0
38 8.0 36.0 12.0 36.0 8.0 32.0 12.0 32.0
39 12.0 36.0 16.0 36.0 12.0 32.0 16.0 32.0
40 16.0 36.0 20.0 36.0 16.0 32.0 20.0 32.0
41 20.0 36.0 24.0 36.0 20.0 32.0 24.0 32.0
42 24.0 36.0 28.0 36.0 24.0 32.0 28.0 32.0
43 28.0 36.0 32.0 36.0 28.0 32.0 32.0 32.0
44 32.0 36.0 36.0 36.0 32.0 32.0 36.0 32.0
45 36.0 36.0 40.0 36.0 36.0 32.0 40.0 32.0
46 40.0 36.0 44.0 36.0 40.0 32.0 44.0 32.0
47 44.0 36.0 48.0 36.0 44.0 32.0 48.0 32.0
48 0.0 32.0 4.0 32.0 0.0 28.0 4.0 28.0
49 4.0 32.0 8.0 32.0 4.0 28.0 8.0 28.0
50 8.0 32.0 12.0 32.0 8.0 28.0 12.0 28.0
51 12.0 32.0 16.0 32.0 12.0 28.0 16.0 28.0
52 16.0 32.0 20.0 32.0 16.0 28.0 20.0 28.0
53 20.0 32.0 24.0 32.0 20.0 28.0 24.0 28.0
54 24.0 32.0 28.0 32.0 24.0 28.0 28.0 28.0
55 28.0 32.0 32.0 32.0 28.0 28.0 32.0 28.0
56 32.0 32.0 36.0 32.0 32.0 28.0 36.0 28.0
57 36.0 32.0 40.0 32.0 36.0 28.0 40.0 28.0
58 40.0 32.0 44.0 32.0 40.0 28.0 44.0 28.0
59 44.0 32.0 48.0 32.0 44.0 28.0 48.0 28.0
60 0.0 28.0 4.0 28.0 0.0 24.0 4.0 24.0
61 4.0 28.0 8.0 28.0 4.0 24.0 8.0 24.0
62 8.0 28.0 12.0 28.0 8.0 24.0 12.0 24.0
63 12.0 28.0 16.0 28.0 12.0 24.0 16.0 24.0
64 16.0 28.0 20.0 28.0 16.0 24.0 20.0 24.0
65 20.0 28.0 24.0 28.0 20.0 24.0 24.0 24.0
66 24.0 28.0 28.0 28.0 24.0 24.0 28.0 24.0
67 28.0 28.0 32.0 28.0 28.0 24.0 32.0 24.0
