OriginID;Destinatio;Total_temp
1;690;0.226392658
1;685;0.344617399
1;674;1.403325471
1;752;2.497315664
1;753;2.609658117
1;675;2.656322125
1;684;2.830025315
1;682;2.994428734
1;743;3.509798172
1;683;3.603902115
1;3;3.680676673
1;689;3.700147941
1;754;3.891739042
1;676;3.892594504
1;672;3.954653722
1;750;3.973206477
1;673;4.140097262
1;688;4.290443464
1;670;4.665967899
1;742;4.694033673
1;712;4.778492519
1;741;4.783736369
1;751;4.874487761
1;744;4.877768047
1;746;4.93597095
1;1;5.087656354
1;714;5.319220164
1;711;5.323004956
1;687;5.324986332
1;691;5.5666306
1;749;5.589229636
1;709;5.595717146
1;677;5.833175254
1;694;5.838966098
1;710;5.986114651
1;698;5.994237569
1;680;6.252888828
1;4;6.362455443
1;693;6.485190359
1;745;6.485768295
1;695;6.539926382
1;671;6.546389101
1;697;6.652005556
1;692;6.707165176
1;713;6.871835667
1;549;6.979679108
1;686;7.05033293
1;759;7.058637751
1;546;7.080553842
1;548;7.377520877
1;747;7.400354577
1;678;7.418727497
1;547;7.463808664
1;748;7.557412783
1;757;7.56240955
1;755;7.569358167
1;534;7.578016112
1;545;7.608409513
1;2;7.675286389
1;700;7.877302962
1;717;8.015060691
1;758;8.047858818
1;679;8.119058561
1;533;8.283929788
1;532;8.320993389
1;731;8.458304472
1;531;8.561494724
1;551;8.571573774
1;518;8.714196053
1;536;8.787312791
1;530;8.872163941
1;716;8.944954243
1;730;8.983589485
1;521;9.014140351
1;732;9.152562855
1;519;9.191877348
1;517;9.239788273
1;550;9.242456883
1;535;9.397982107
1;729;9.425953795
1;756;9.586480438
1;504;9.64749149
1;505;9.705611909
1;522;9.724245479
1;733;9.771735195
1;503;9.841389156
1;721;9.866674747
1;699;9.872737255
1;702;10.01665753
1;719;10.27499294
1;553;10.45269645
1;723;10.47447448
1;718;10.49364816
1;706;10.56261426
1;525;10.56433934
1;538;10.57993899
1;659;10.5850885
1;660;10.70366366
1;508;10.71212058
1;722;10.90462529
1;523;10.90784751
1;703;10.93334884
1;524;10.9525197
1;520;11.06841239
1;661;11.07411507
1;720;11.19205747
1;557;11.23863221
1;701;11.24341145
1;667;11.42951248
1;552;11.42986562
1;704;11.48742958
1;705;11.56504598
1;638;11.58514118
1;666;11.58921707
1;664;11.61385171
1;663;11.6390174
1;537;11.66299033
1;628;11.8030672
1;509;11.82086626
1;724;11.83500498
1;511;11.89646084
1;555;11.93556293
1;542;11.97294405
1;622;12.02199439
1;662;12.05785572
1;639;12.12202862
1;506;12.14844693
1;510;12.16372444
1;554;12.16718955
1;627;12.1871633
1;640;12.2159011
1;665;12.21619384
1;540;12.2561497
1;527;12.34989017
1;643;12.36519516
1;619;12.4658565
1;656;12.47107479
1;604;12.53107755
1;556;12.67845939
1;513;12.68346115
1;655;12.8055548
1;642;12.80674524
1;641;12.82232236
1;620;12.83120089
1;621;12.8330749
1;539;12.83779387
1;512;12.84810716
1;607;12.85934289
1;507;12.90806579
1;605;13.01492649
1;574;13.02655107
1;529;13.04300761
1;558;13.043558
