customer p1x p1y p2x p2y p3x p3y p4x p4y
1 0.0 12.0 1.0 12.0 0.0 11.0 1.0 11.0
2 1.0 12.0 2.0 12.0 1.0 11.0 2.0 11.0
3 2.0 12.0 3.0 12.0 2.0 11.0 3.0 11.0
4 3.0 12.0 4.0 12.0 3.0 11.0 4.0 11.0
5 4.0 12.0 5.0 12.0 4.0 11.0 5.0 11.0
6 5.0 12.0 6.0 12.0 5.0 11.0 6.0 11.0
7 6.0 12.0 7.0 12.0 6.0 11.0 7.0 11.0
8 7.0 12.0 8.0 12.0 7.0 11.0 8.0 11.0
9 8.0 12.0 9.0 12.0 8.0 11.0 9.0 11.0
10 9.0 12.0 10.0 12.0 9.0 11.0 10.0 11.0
11 10.0 12.0 11.0 12.0 10.0 11.0 11.0 11.0
12 11.0 12.0 12.0 12.0 11.0 11.0 12.0 11.0
13 0.0 11.0 1.0 11.0 0.0 10.0 1.0 10.0
14 1.0 11.0 2.0 11.0 1.0 10.0 2.0 10.0
15 2.0 11.0 3.0 11.0 2.0 10.0 3.0 10.0
16 3.0 11.0 4.0 11.0 3.0 10.0 4.0 10.0
17 4.0 11.0 5.0 11.0 4.0 10.0 5.0 10.0
18 5.0 11.0 6.0 11.0 5.0 10.0 6.0 10.0
19 6.0 11.0 7.0 11.0 6.0 10.0 7.0 10.0
20 7.0 11.0 8.0 11.0 7.0 10.0 8.0 10.0
21 8.0 11.0 9.0 11.0 8.0 10.0 9.0 10.0
22 9.0 11.0 10.0 11.0 9.0 10.0 10.0 10.0
23 10.0 11.0 11.0 11.0 10.0 10.0 11.0 10.0
24 11.0 11.0 12.0 11.0 11.0 10.0 12.0 10.0
25 0.0 10.0 1.0 10.0 0.0 9.0 1.0 9.0
26 1.0 10.0 2.0 10.0 1.0 9.0 2.0 9.0
27 2.0 10.0 3.0 10.0 2.0 9.0 3.0 9.0
28 3.0 10.0 4.0 10.0 3.0 9.0 4.0 9.0
29 4.0 10.0 5.0 10.0 4.0 9.0 5.0 9.0
30 5.0 10.0 6.0 10.0 5.0 9.0 6.0 9.0
31 6.0 10.0 7.0 10.0 6.0 9.0 7.0 9.0
