location capacity Xf Yf
1 124.54 2.02 3.71
2 166.05 9.73 4.15
3 166.05 3.8 9.41
4 41.51 10.1 4.47
5 124.54 9.2 1.01
6 124.54 1.38 9.26
7 207.57 1.64 6.49
8 166.05 0.92 11.09
9 83.03 6.71 4.82
10 41.51 1.21 10.68
11 166.05 11.09 5.16
12 166.05 8.2 10.32
13 83.03 7.16 7.89
14 41.51 2.81 4.3
15 83.03 1.07 2.5
16 207.57 8.01 3.79
17 166.05 8.16 1.27
18 83.03 6.02 11.09
19 124.54 7.62 5.25
20 207.57 0.71 8.39
21 124.54 6.07 9.07
22 83.03 2.21 7.18
23 166.05 7.0 10.73
24 41.51 7.56 5.02
25 41.51 5.01 11.41
26 41.51 1.48 5.61
27 207.57 0.73 0.47
28 83.03 4.3 8.25
29 207.57 6.68 7.71
30 166.05 11.43 10.29
31 83.03 4.66 9.49
32 124.54 6.63 3.38
33 41.51 8.66 8.18
34 124.54 7.24 3.15
35 124.54 10.17 10.13
36 166.05 3.23 6.51
37 124.54 5.04 7.34
38 207.57 10.87 8.52
39 83.03 8.1 2.08
40 207.57 7.44 8.25
41 124.54 7.4 5.54
42 166.05 0.26 9.87
43 166.05 4.84 9.12
44 207.57 10.79 4.33
45 124.54 8.22 11.03
46 83.03 9.64 11.17
47 207.57 0.82 9.91
48 83.03 1.63 6.01
49 166.05 11.64 8.46
50 166.05 2.71 0.81
51 166.05 5.8 9.57
52 207.57 6.13 5.98
53 166.05 6.27 8.55
54 83.03 9.04 10.33
55 83.03 2.6 0.41
56 83.03 8.7 9.67
57 83.03 9.66 9.09
58 41.51 1.91 6.58
59 41.51 2.95 4.64
60 166.05 1.17 7.65
61 166.05 0.49 10.55
62 41.51 8.98 1.2
63 83.03 8.99 3.47
64 124.54 5.96 11.64
65 207.57 8.0 7.76
66 41.51 2.55 6.83
67 83.03 10.38 7.58
68 41.51 2.04 2.57
69 83.03 2.7 2.16
70 41.51 4.66 1.14
71 124.54 0.94 0.47
72 41.51 4.87 9.98
73 83.03 2.37 6.13
74 41.51 8.33 10.64
75 166.05 10.36 1.53
76 166.05 2.97 9.26
77 83.03 2.12 6.03
78 41.51 6.24 5.88
79 83.03 0.4 7.92
80 83.03 0.91 6.25
81 166.05 1.47 7.82
82 83.03 6.44 3.59
83 166.05 8.72 2.68
84 166.05 11.08 5.83
85 166.05 7.15 9.26
86 83.03 2.95 10.27
87 207.57 0.82 6.75
88 124.54 0.84 8.75
89 124.54 2.49 3.66
90 124.54 8.92 2.02
91 124.54 7.5 0.5
92 83.03 11.54 11.32
93 41.51 7.43 11.15
94 166.05 6.42 8.17
95 41.51 4.65 9.54
96 41.51 3.36 1.91
97 207.57 6.48 0.64
98 166.05 8.86 3.19
99 41.51 5.87 9.81
100 83.03 2.74 4.75
101 83.03 6.4 10.98
102 207.57 3.79 2.99
103 41.51 6.08 11.62
104 207.57 10.49 2.87
105 41.51 1.2 0.72
106 166.05 2.38 2.67
107 166.05 10.09 1.28
108 124.54 10.8 7.28
