subarea p1x p1y p2x p2y p3x p3y p4x p4y
0 0.0 44.0 4.0 44.0 0.0 40.0 4.0 40.0
1 4.0 44.0 8.0 44.0 4.0 40.0 8.0 40.0
2 8.0 44.0 12.0 44.0 8.0 40.0 12.0 40.0
3 12.0 44.0 16.0 44.0 12.0 40.0 16.0 40.0
4 16.0 44.0 20.0 44.0 16.0 40.0 20.0 40.0
5 20.0 44.0 24.0 44.0 20.0 40.0 24.0 40.0
6 24.0 44.0 28.0 44.0 24.0 40.0 28.0 40.0
7 28.0 44.0 32.0 44.0 28.0 40.0 32.0 40.0
8 32.0 44.0 36.0 44.0 32.0 40.0 36.0 40.0
9 36.0 44.0 40.0 44.0 36.0 40.0 40.0 40.0
10 40.0 44.0 44.0 44.0 40.0 40.0 44.0 40.0
11 0.0 40.0 4.0 40.0 0.0 36.0 4.0 36.0
12 4.0 40.0 8.0 40.0 4.0 36.0 8.0 36.0
13 8.0 40.0 12.0 40.0 8.0 36.0 12.0 36.0
14 12.0 40.0 16.0 40.0 12.0 36.0 16.0 36.0
15 16.0 40.0 20.0 40.0 16.0 36.0 20.0 36.0
16 20.0 40.0 24.0 40.0 20.0 36.0 24.0 36.0
17 24.0 40.0 28.0 40.0 24.0 36.0 28.0 36.0
18 28.0 40.0 32.0 40.0 28.0 36.0 32.0 36.0
19 32.0 40.0 36.0 40.0 32.0 36.0 36.0 36.0
20 36.0 40.0 40.0 40.0 36.0 36.0 40.0 36.0
21 40.0 40.0 44.0 40.0 40.0 36.0 44.0 36.0
22 0.0 36.0 4.0 36.0 0.0 32.0 4.0 32.0
23 4.0 36.0 8.0 36.0 4.0 32.0 8.0 32.0
24 8.0 36.0 12.0 36.0 8.0 32.0 12.0 32.0
25 12.0 36.0 16.0 36.0 12.0 32.0 16.0 32.0
26 16.0 36.0 20.0 36.0 16.0 32.0 20.0 32.0
27 20.0 36.0 24.0 36.0 20.0 32.0 24.0 32.0
28 24.0 36.0 28.0 36.0 24.0 32.0 28.0 32.0
29 28.0 36.0 32.0 36.0 28.0 32.0 32.0 32.0
30 32.0 36.0 36.0 36.0 32.0 32.0 36.0 32.0
31 36.0 36.0 40.0 36.0 36.0 32.0 40.0 32.0
32 40.0 36.0 44.0 36.0 40.0 32.0 44.0 32.0
33 0.0 32.0 4.0 32.0 0.0 28.0 4.0 28.0
34 4.0 32.0 8.0 32.0 4.0 28.0 8.0 28.0
35 8.0 32.0 12.0 32.0 8.0 28.0 12.0 28.0
36 12.0 32.0 16.0 32.0 12.0 28.0 16.0 28.0
37 16.0 32.0 20.0 32.0 16.0 28.0 20.0 28.0
38 20.0 32.0 24.0 32.0 20.0 28.0 24.0 28.0
39 24.0 32.0 28.0 32.0 24.0 28.0 28.0 28.0
40 28.0 32.0 32.0 32.0 28.0 28.0 32.0 28.0
41 32.0 32.0 36.0 32.0 32.0 28.0 36.0 28.0
42 36.0 32.0 40.0 32.0 36.0 28.0 40.0 28.0
43 40.0 32.0 44.0 32.0 40.0 28.0 44.0 28.0
44 0.0 28.0 4.0 28.0 0.0 24.0 4.0 24.0
45 4.0 28.0 8.0 28.0 4.0 24.0 8.0 24.0
46 8.0 28.0 12.0 28.0 8.0 24.0 12.0 24.0
