subarea p1x p1y p2x p2y p3x p3y p4x p4y
1 0.0 44.0 2.0 44.0 0.0 42.0 2.0 42.0
2 2.0 44.0 4.0 44.0 2.0 42.0 4.0 42.0
3 4.0 44.0 6.0 44.0 4.0 42.0 6.0 42.0
4 6.0 44.0 8.0 44.0 6.0 42.0 8.0 42.0
5 8.0 44.0 10.0 44.0 8.0 42.0 10.0 42.0
6 10.0 44.0 12.0 44.0 10.0 42.0 12.0 42.0
7 12.0 44.0 14.0 44.0 12.0 42.0 14.0 42.0
8 14.0 44.0 16.0 44.0 14.0 42.0 16.0 42.0
9 16.0 44.0 18.0 44.0 16.0 42.0 18.0 42.0
10 18.0 44.0 20.0 44.0 18.0 42.0 20.0 42.0
11 20.0 44.0 22.0 44.0 20.0 42.0 22.0 42.0
12 22.0 44.0 24.0 44.0 22.0 42.0 24.0 42.0
13 24.0 44.0 26.0 44.0 24.0 42.0 26.0 42.0
14 26.0 44.0 28.0 44.0 26.0 42.0 28.0 42.0
15 28.0 44.0 30.0 44.0 28.0 42.0 30.0 42.0
16 30.0 44.0 32.0 44.0 30.0 42.0 32.0 42.0
17 32.0 44.0 34.0 44.0 32.0 42.0 34.0 42.0
18 34.0 44.0 36.0 44.0 34.0 42.0 36.0 42.0
19 36.0 44.0 38.0 44.0 36.0 42.0 38.0 42.0
20 38.0 44.0 40.0 44.0 38.0 42.0 40.0 42.0
21 40.0 44.0 42.0 44.0 40.0 42.0 42.0 42.0
22 42.0 44.0 44.0 44.0 42.0 42.0 44.0 42.0
23 0.0 42.0 2.0 42.0 0.0 40.0 2.0 40.0
24 2.0 42.0 4.0 42.0 2.0 40.0 4.0 40.0
25 4.0 42.0 6.0 42.0 4.0 40.0 6.0 40.0
26 6.0 42.0 8.0 42.0 6.0 40.0 8.0 40.0
27 8.0 42.0 10.0 42.0 8.0 40.0 10.0 40.0
28 10.0 42.0 12.0 42.0 10.0 40.0 12.0 40.0
29 12.0 42.0 14.0 42.0 12.0 40.0 14.0 40.0
30 14.0 42.0 16.0 42.0 14.0 40.0 16.0 40.0
31 16.0 42.0 18.0 42.0 16.0 40.0 18.0 40.0
32 18.0 42.0 20.0 42.0 18.0 40.0 20.0 40.0
33 20.0 42.0 22.0 42.0 20.0 40.0 22.0 40.0
34 22.0 42.0 24.0 42.0 22.0 40.0 24.0 40.0
35 24.0 42.0 26.0 42.0 24.0 40.0 26.0 40.0
36 26.0 42.0 28.0 42.0 26.0 40.0 28.0 40.0
37 28.0 42.0 30.0 42.0 28.0 40.0 30.0 40.0
38 30.0 42.0 32.0 42.0 30.0 40.0 32.0 40.0
39 32.0 42.0 34.0 42.0 32.0 40.0 34.0 40.0
40 34.0 42.0 36.0 42.0 34.0 40.0 36.0 40.0
41 36.0 42.0 38.0 42.0 36.0 40.0 38.0 40.0
42 38.0 42.0 40.0 42.0 38.0 40.0 40.0 40.0
43 40.0 42.0 42.0 42.0 40.0 40.0 42.0 40.0
44 42.0 42.0 44.0 42.0 42.0 40.0 44.0 40.0
45 0.0 40.0 2.0 40.0 0.0 38.0 2.0 38.0
46 2.0 40.0 4.0 40.0 2.0 38.0 4.0 38.0
47 4.0 40.0 6.0 40.0 4.0 38.0 6.0 38.0
48 6.0 40.0 8.0 40.0 6.0 38.0 8.0 38.0
49 8.0 40.0 10.0 40.0 8.0 38.0 10.0 38.0
50 10.0 40.0 12.0 40.0 10.0 38.0 12.0 38.0
51 12.0 40.0 14.0 40.0 12.0 38.0 14.0 38.0
52 14.0 40.0 16.0 40.0 14.0 38.0 16.0 38.0
53 16.0 40.0 18.0 40.0 16.0 38.0 18.0 38.0
54 18.0 40.0 20.0 40.0 18.0 38.0 20.0 38.0
55 20.0 40.0 22.0 40.0 20.0 38.0 22.0 38.0
56 22.0 40.0 24.0 40.0 22.0 38.0 24.0 38.0
57 24.0 40.0 26.0 40.0 24.0 38.0 26.0 38.0
58 26.0 40.0 28.0 40.0 26.0 38.0 28.0 38.0
59 28.0 40.0 30.0 40.0 28.0 38.0 30.0 38.0
60 30.0 40.0 32.0 40.0 30.0 38.0 32.0 38.0
61 32.0 40.0 34.0 40.0 32.0 38.0 34.0 38.0
62 34.0 40.0 36.0 40.0 34.0 38.0 36.0 38.0
63 36.0 40.0 38.0 40.0 36.0 38.0 38.0 38.0
64 38.0 40.0 40.0 40.0 38.0 38.0 40.0 38.0
65 40.0 40.0 42.0 40.0 40.0 38.0 42.0 38.0
66 42.0 40.0 44.0 40.0 42.0 38.0 44.0 38.0
67 0.0 38.0 2.0 38.0 0.0 36.0 2.0 36.0
