location capacity Xf Yf
1 28.219 9.163 42.638
2 28.111 38.663 23.044
3 11.682 20.72 4.19
4 16.344 13.19 22.424
5 18.079 34.489 3.171
6 30.96 21.475 36.159
7 19.523 40.163 10.814
8 32.761 34.086 7.767
9 16.291 40.095 36.303
10 16.183 34.979 33.704
11 25.909 3.158 10.211
12 28.355 24.86 42.94
13 33.13 5.544 32.026
14 37.442 35.273 3.555
15 15.239 0.253 35.773
16 31.574 34.012 40.052
17 11.985 9.991 25.946
18 40.307 34.992 5.817
19 36.345 42.152 13.639
20 38.793 22.374 3.968
21 25.94 19.036 22.651
22 10.126 21.022 17.548
23 23.668 40.545 37.873
24 17.907 29.501 15.63
25 19.906 27.986 13.901
26 18.27 3.476 16.218
27 23.647 21.703 2.882
28 19.943 40.499 17.811
29 24.499 40.145 15.188
30 25.341 13.755 29.548
31 17.731 15.063 33.505
32 39.051 11.725 25.208
33 33.651 28.787 0.409
34 33.272 36.374 18.265
35 36.482 26.067 6.488
36 34.349 8.857 33.146
37 20.879 20.176 17.648
38 19.638 13.076 29.02
39 11.631 13.722 39.516
40 14.906 10.017 37.183
41 39.444 21.844 34.952
42 18.613 30.444 6.428
43 40.225 5.18 41.533
44 15.393 40.799 23.756
45 21.731 4.964 21.458
46 14.482 20.849 38.694
47 18.277 11.702 25.6
48 39.645 3.647 10.655
49 14.495 33.452 24.932
50 33.158 41.862 10.869
51 39.891 19.334 15.102
52 25.733 16.368 25.344
53 13.503 37.055 2.421
54 35.312 13.281 15.005
55 15.173 26.019 36.769
56 26.382 12.714 13.05
57 21.384 16.222 22.567
58 28.917 17.033 15.824
59 11.004 23.663 2.613
60 9.755 30.032 3.307
61 11.391 5.881 34.379
62 32.509 1.659 2.606
63 21.008 30.345 6.531
64 39.14 13.823 1.921
65 17.973 10.032 19.965
66 40.635 39.3 25.837
67 31.047 4.021 38.93
68 11.979 16.555 8.771
69 28.922 39.859 14.57
70 21.503 24.392 14.762
71 24.53 38.167 8.629
72 37.162 28.257 30.959
73 23.75 43.591 30.249
74 12.534 36.989 4.941
75 20.41 15.322 10.992
76 28.718 19.196 40.401
77 35.126 2.903 31.886
78 38.503 5.021 6.21
79 9.485 13.404 39.168
80 16.796 24.139 22.819
81 13.508 22.187 11.48
82 27.747 43.594 25.849
83 10.087 10.154 22.762
84 21.117 28.542 30.941
85 20.87 19.805 32.753
86 38.033 19.688 22.297
87 12.402 15.785 32.733
88 25.009 12.391 5.411
89 41.229 37.715 32.641
90 37.194 5.671 27.903
91 37.799 2.323 25.217
92 16.224 18.505 19.372
93 21.732 39.045 14.119
94 37.433 40.385 13.43
95 8.989 12.789 33.415
96 22.613 38.219 21.77
97 15.321 11.487 36.929
98 13.083 4.374 25.474
99 33.05 18.074 38.639
100 24.07 2.768 18.34
101 21.662 20.941 37.051
102 30.169 40.038 1.65
103 19.444 1.799 28.02
104 20.603 43.225 7.326
105 41.448 37.301 31.047
106 13.713 42.093 10.002
107 17.451 41.108 34.182
108 20.319 1.937 21.467
109 12.155 19.555 37.144
110 15.568 8.119 40.277
111 10.348 37.743 31.285
112 18.852 0.881 29.669
113 38.893 12.425 37.692
114 27.698 0.264 40.078
115 20.609 26.382 25.668
116 26.203 41.466 8.565
117 21.296 38.748 9.712
118 35.504 32.32 20.294
119 36.639 1.735 7.166
120 10.966 34.729 25.403
121 25.661 30.182 10.833
122 40.702 31.588 22.202
123 28.932 43.316 40.998
124 31.578 24.275 25.169
125 31.905 34.871 17.67
126 14.771 11.643 18.615
127 16.598 18.678 31.137
128 21.794 33.834 34.511
129 21.495 24.472 14.944
130 31.919 32.048 26.244
131 27.317 41.673 42.812
132 13.879 6.276 12.074
133 20.585 33.182 10.917
134 35.519 38.206 15.024
135 15.171 15.654 4.132
136 28.903 33.518 22.096
137 30.458 2.402 26.145
138 39.139 11.301 27.987
139 19.491 1.655 27.125
140 16.554 8.088 20.504
141 16.149 36.223 8.287
142 36.801 0.623 28.251
143 37.22 6.675 40.608
144 34.948 25.077 26.141
145 15.664 39.483 27.736
146 38.571 8.338 12.82
147 34.102 36.858 35.685
148 17.41 8.671 24.772
149 27.136 29.271 36.381
150 24.143 5.65 10.255
151 28.694 33.857 13.243
152 33.797 39.956 34.765
153 29.24 0.408 41.145
154 11.877 43.108 13.927
155 11.673 4.59 22.11
156 36.514 39.887 27.557
157 30.684 12.798 40.366
158 31.824 5.951 29.198
159 21.593 33.87 25.547
160 12.363 26.566 0.344
161 11.959 30.104 27.035
162 35.513 29.676 36.53
163 12.386 36.356 36.594
164 13.751 17.456 3.698
165 22.062 12.753 33.05
166 38.977 32.038 26.466
167 24.519 31.037 4.575
168 20.958 32.755 9.808
169 28.257 10.64 39.398
170 30.723 20.851 13.693
171 25.824 37.292 8.104
172 28.994 23.252 1.227
173 10.916 4.708 10.583
174 25.143 25.317 15.303
175 26.249 18.612 9.715
176 15.832 38.146 18.583
177 28.759 18.697 40.562
178 41.448 33.96 27.524
179 29.436 4.57 12.194
180 26.947 25.833 36.153
181 25.695 28.325 39.706
182 26.025 37.844 18.132
183 22.553 26.874 37.81
184 17.243 4.162 14.635
185 36.45 12.064 15.717
186 24.926 10.056 21.016
187 25.868 5.997 29.892
188 36.749 26.353 41.041
189 40.35 25.762 40.487
190 19.941 4.337 42.014
191 36.812 33.49 17.361
192 23.953 8.577 16.273
193 31.077 27.286 35.856
194 25.927 8.681 16.169
195 11.594 7.329 33.587
196 38.469 27.218 5.132
197 10.294 13.461 22.403
198 19.568 7.226 26.655
199 17.633 22.573 36.783
200 13.77 5.266 35.162
201 28.096 35.824 5.274
202 30.469 1.627 30.657
203 27.541 31.316 29.483
204 23.181 1.484 8.933
205 37.75 14.091 6.363
206 16.643 23.189 10.041
207 38.309 35.301 5.392
208 41.943 36.689 18.562
209 32.882 22.538 30.725
210 39.113 29.351 37.216
211 18.033 27.306 36.413
212 27.226 38.26 3.35
213 38.178 36.991 18.546
214 36.118 39.742 4.513
215 40.404 12.463 8.011
216 26.329 3.527 2.163
217 10.451 27.639 10.413
218 26.832 33.271 7.391
219 27.526 3.409 2.547
220 26.756 20.422 26.584
221 39.929 36.149 23.811
222 37.97 28.818 35.456
223 11.205 42.285 15.983
224 9.412 41.127 26.383
225 28.56 22.341 12.376
226 39.762 18.425 19.939
227 11.571 22.444 28.399
228 22.143 5.002 26.287
229 37.432 26.884 30.979
230 20.249 12.056 20.798
231 26.673 25.802 33.322
232 8.773 41.938 21.43
233 11.29 37.82 37.159
234 30.222 29.224 31.052
235 15.026 2.926 18.136
236 36.451 18.789 39.637
237 31.116 40.6 8.336
238 37.449 38.726 40.599
239 39.115 17.54 38.456
240 37.66 35.525 32.213
241 31.914 27.763 17.374
242 27.496 25.144 40.396
243 11.835 3.292 34.261
244 37.874 19.713 26.899
245 27.499 15.199 19.955
246 25.715 40.296 40.656
247 31.193 24.593 19.146
248 33.699 29.159 26.675
249 24.101 4.204 4.553
250 38.16 2.431 1.14
251 17.231 16.787 40.468
252 39.4 18.426 36.123
253 22.128 27.086 31.914
254 27.746 37.209 13.164
255 34.411 9.82 33.434
256 19.973 6.741 39.025
257 9.803 31.375 42.123
258 40.411 21.328 13.027
259 9.574 31.383 23.339
260 28.482 13.104 14.576
261 12.334 6.16 30.677
262 12.876 17.852 17.717
263 27.659 36.275 20.147
264 36.866 29.735 35.501
265 31.247 11.507 33.671
266 30.219 37.012 37.248
267 13.509 10.471 42.652
268 14.762 25.911 23.2
269 14.639 14.182 24.611
270 23.613 34.805 25.942
271 26.919 34.846 2.85
272 11.138 25.602 21.245
273 34.791 24.263 13.724
274 9.619 39.014 9.663
275 40.254 7.177 6.679
276 25.49 43.055 32.123
277 19.547 27.789 16.452
278 26.564 32.856 5.768
279 24.567 2.928 0.5
280 37.201 37.541 32.31
281 25.6 7.709 10.355
282 15.09 41.296 6.609
283 19.951 33.797 32.26
284 24.448 36.127 1.267
285 12.756 8.509 4.154
286 8.417 41.634 39.799
287 40.833 7.659 36.686
288 38.781 38.927 5.139
289 38.594 10.275 35.186
290 40.384 1.949 21.45
291 9.875 18.474 39.483
292 20.985 24.786 37.903
293 33.613 24.847 10.754
294 32.762 17.272 8.754
295 34.145 30.982 15.687
296 40.737 7.824 0.302
297 26.5 25.378 43.308
298 10.819 13.893 21.573
299 31.326 16.065 34.585
300 27.128 21.764 11.91
301 12.709 21.634 31.392
302 37.572 6.232 2.642
303 13.988 4.016 19.612
304 15.819 36.743 38.341
305 9.831 14.304 4.626
306 23.462 7.697 11.182
307 10.924 6.449 12.491
308 31.402 43.42 13.624
309 30.813 42.072 4.284
