subarea p1x p1y p2x p2y p3x p3y p4x p4y
0 0.0 20.0 5.0 20.0 0.0 15.0 5.0 15.0
1 5.0 20.0 10.0 20.0 5.0 15.0 10.0 15.0
2 10.0 20.0 15.0 20.0 10.0 15.0 15.0 15.0
3 15.0 20.0 20.0 20.0 15.0 15.0 20.0 15.0
4 0.0 15.0 5.0 15.0 0.0 10.0 5.0 10.0
5 5.0 15.0 10.0 15.0 5.0 10.0 10.0 10.0
6 10.0 15.0 15.0 15.0 10.0 10.0 15.0 10.0
7 15.0 15.0 20.0 15.0 15.0 10.0 20.0 10.0
8 0.0 10.0 5.0 10.0 0.0 5.0 5.0 5.0
9 5.0 10.0 10.0 10.0 5.0 5.0 10.0 5.0
10 10.0 10.0 15.0 10.0 10.0 5.0 15.0 5.0
11 15.0 10.0 20.0 10.0 15.0 5.0 20.0 5.0
12 0.0 5.0 5.0 5.0 0.0 0.0 5.0 0.0
13 5.0 5.0 10.0 5.0 5.0 0.0 10.0 0.0
14 10.0 5.0 15.0 5.0 10.0 0.0 15.0 0.0
15 15.0 5.0 20.0 5.0 15.0 0.0 20.0 0.0
