customer weight Xc Yc
1 1.133 0.5 19.5
2 1.0 1.5 19.5
3 1.104 2.5 19.5
4 1.046 3.5 19.5
5 1.353 4.5 19.5
6 1.861 5.5 19.5
7 1.879 6.5 19.5
8 2.248 7.5 19.5
9 3.274 8.5 19.5
10 2.511 9.5 19.5
11 3.283 10.5 19.5
12 2.826 11.5 19.5
13 3.64 12.5 19.5
14 2.522 13.5 19.5
15 2.513 14.5 19.5
16 1.977 15.5 19.5
17 2.415 16.5 19.5
18 2.197 17.5 19.5
19 1.589 18.5 19.5
20 1.344 19.5 19.5
21 1.0 0.5 18.5
22 1.234 1.5 18.5
23 1.62 2.5 18.5
24 1.068 3.5 18.5
25 1.891 4.5 18.5
26 1.559 5.5 18.5
27 2.329 6.5 18.5
28 1.817 7.5 18.5
29 3.176 8.5 18.5
30 3.461 9.5 18.5
31 3.22 10.5 18.5
32 2.304 11.5 18.5
33 3.809 12.5 18.5
34 3.83 13.5 18.5
35 3.606 14.5 18.5
36 3.147 15.5 18.5
37 1.714 16.5 18.5
38 1.689 17.5 18.5
39 1.853 18.5 18.5
40 1.337 19.5 18.5
41 1.083 0.5 17.5
42 1.564 1.5 17.5
43 1.09 2.5 17.5
44 1.767 3.5 17.5
45 1.608 4.5 17.5
46 2.528 5.5 17.5
47 2.148 6.5 17.5
48 2.71 7.5 17.5
49 2.48 8.5 17.5
50 3.474 9.5 17.5
51 3.818 10.5 17.5
52 3.251 11.5 17.5
53 4.567 12.5 17.5
54 3.88 13.5 17.5
55 3.894 14.5 17.5
56 3.009 15.5 17.5
57 2.82 16.5 17.5
58 2.193 17.5 17.5
59 1.169 18.5 17.5
60 1.0 19.5 17.5
61 1.121 0.5 16.5
62 1.306 1.5 16.5
63 1.2 2.5 16.5
64 1.131 3.5 16.5
65 2.028 4.5 16.5
66 1.773 5.5 16.5
67 2.652 6.5 16.5
68 2.445 7.5 16.5
69 2.25 8.5 16.5
70 4.006 9.5 16.5
71 4.763 10.5 16.5
72 5.275 11.5 16.5
73 4.316 12.5 16.5
74 4.538 13.5 16.5
75 3.661 14.5 16.5
76 2.453 15.5 16.5
77 2.201 16.5 16.5
78 1.506 17.5 16.5
79 1.0 18.5 16.5
80 1.0 19.5 16.5
81 1.76 0.5 15.5
82 1.898 1.5 15.5
83 1.445 2.5 15.5
84 1.174 3.5 15.5
85 1.781 4.5 15.5
86 1.444 5.5 15.5
87 2.243 6.5 15.5
88 2.089 7.5 15.5
89 2.51 8.5 15.5
90 3.118 9.5 15.5
91 3.095 10.5 15.5
92 5.388 11.5 15.5
93 5.899 12.5 15.5
94 5.621 13.5 15.5
95 5.448 14.5 15.5
96 3.91 15.5 15.5
97 3.336 16.5 15.5
98 2.944 17.5 15.5
99 2.357 18.5 15.5
100 2.248 19.5 15.5
101 1.349 0.5 14.5
102 1.906 1.5 14.5
103 1.3 2.5 14.5
104 2.028 3.5 14.5
105 1.0 4.5 14.5
106 1.696 5.5 14.5
107 2.067 6.5 14.5
108 2.251 7.5 14.5
109 1.986 8.5 14.5
110 2.631 9.5 14.5
111 3.666 10.5 14.5
112 5.669 11.5 14.5
113 6.0 12.5 14.5
114 5.156 13.5 14.5
115 5.314 14.5 14.5
116 4.207 15.5 14.5
117 3.398 16.5 14.5
118 2.918 17.5 14.5
119 1.71 18.5 14.5
120 1.996 19.5 14.5
121 1.378 0.5 13.5
122 2.14 1.5 13.5
123 2.192 2.5 13.5
124 1.948 3.5 13.5
125 1.577 4.5 13.5
126 1.268 5.5 13.5
127 1.761 6.5 13.5
128 1.491 7.5 13.5
129 2.252 8.5 13.5
130 1.929 9.5 13.5
131 5.285 10.5 13.5
132 5.846 11.5 13.5
133 5.319 12.5 13.5
134 5.726 13.5 13.5
135 4.288 14.5 13.5
136 4.57 15.5 13.5
137 4.281 16.5 13.5
138 2.179 17.5 13.5
139 2.649 18.5 13.5
140 2.34 19.5 13.5
141 2.043 0.5 12.5
142 1.27 1.5 12.5
143 1.601 2.5 12.5
144 2.574 3.5 12.5
145 1.848 4.5 12.5
146 2.663 5.5 12.5
147 1.48 6.5 12.5
148 1.859 7.5 12.5
149 1.769 8.5 12.5
150 4.323 9.5 12.5
151 3.52 10.5 12.5
152 3.416 11.5 12.5
153 3.16 12.5 12.5
154 2.929 13.5 12.5
155 5.278 14.5 12.5
156 3.987 15.5 12.5
157 4.342 16.5 12.5
158 2.419 17.5 12.5
159 2.359 18.5 12.5
160 1.991 19.5 12.5
161 1.0 0.5 11.5
162 1.569 1.5 11.5
163 1.972 2.5 11.5
164 2.57 3.5 11.5
165 3.458 4.5 11.5
166 3.249 5.5 11.5
167 4.446 6.5 11.5
168 5.331 7.5 11.5
169 5.591 8.5 11.5
170 4.374 9.5 11.5
171 3.8 10.5 11.5
172 2.467 11.5 11.5
173 1.976 12.5 11.5
174 2.708 13.5 11.5
175 5.169 14.5 11.5
176 5.129 15.5 11.5
177 4.325 16.5 11.5
178 3.919 17.5 11.5
179 2.248 18.5 11.5
180 1.225 19.5 11.5
181 1.689 0.5 10.5
182 1.041 1.5 10.5
183 1.914 2.5 10.5
184 3.335 3.5 10.5
185 3.436 4.5 10.5
186 5.351 5.5 10.5
187 5.354 6.5 10.5
188 5.986 7.5 10.5
189 5.939 8.5 10.5
190 3.654 9.5 10.5
191 2.286 10.5 10.5
192 2.304 11.5 10.5
193 1.479 12.5 10.5
194 4.161 13.5 10.5
195 3.489 14.5 10.5
196 3.813 15.5 10.5
197 5.108 16.5 10.5
198 3.842 17.5 10.5
199 2.346 18.5 10.5
