subarea p1x p1y p2x p2y p3x p3y p4x p4y
0 0.0 20.0 4.0 20.0 0.0 16.0 4.0 16.0
1 4.0 20.0 8.0 20.0 4.0 16.0 8.0 16.0
2 8.0 20.0 12.0 20.0 8.0 16.0 12.0 16.0
3 12.0 20.0 16.0 20.0 12.0 16.0 16.0 16.0
4 16.0 20.0 20.0 20.0 16.0 16.0 20.0 16.0
5 0.0 16.0 4.0 16.0 0.0 12.0 4.0 12.0
6 4.0 16.0 8.0 16.0 4.0 12.0 8.0 12.0
7 8.0 16.0 12.0 16.0 8.0 12.0 12.0 12.0
8 12.0 16.0 16.0 16.0 12.0 12.0 16.0 12.0
9 16.0 16.0 20.0 16.0 16.0 12.0 20.0 12.0
10 0.0 12.0 4.0 12.0 0.0 8.0 4.0 8.0
11 4.0 12.0 8.0 12.0 4.0 8.0 8.0 8.0
12 8.0 12.0 12.0 12.0 8.0 8.0 12.0 8.0
13 12.0 12.0 16.0 12.0 12.0 8.0 16.0 8.0
14 16.0 12.0 20.0 12.0 16.0 8.0 20.0 8.0
15 0.0 8.0 4.0 8.0 0.0 4.0 4.0 4.0
16 4.0 8.0 8.0 8.0 4.0 4.0 8.0 4.0
17 8.0 8.0 12.0 8.0 8.0 4.0 12.0 4.0
18 12.0 8.0 16.0 8.0 12.0 4.0 16.0 4.0
19 16.0 8.0 20.0 8.0 16.0 4.0 20.0 4.0
20 0.0 4.0 4.0 4.0 0.0 0.0 4.0 0.0
21 4.0 4.0 8.0 4.0 4.0 0.0 8.0 0.0
22 8.0 4.0 12.0 4.0 8.0 0.0 12.0 0.0
23 12.0 4.0 16.0 4.0 12.0 0.0 16.0 0.0
24 16.0 4.0 20.0 4.0 16.0 0.0 20.0 0.0
