customer weight Xc Yc
1 1.0 0.5 15.5
2 2.764 1.5 15.5
3 2.8 2.5 15.5
4 3.907 3.5 15.5
5 4.14 4.5 15.5
6 4.087 5.5 15.5
7 5.649 6.5 15.5
8 3.893 7.5 15.5
9 5.323 8.5 15.5
10 3.196 9.5 15.5
11 1.845 10.5 15.5
12 1.295 11.5 15.5
13 1.03 12.5 15.5
14 1.0 13.5 15.5
15 1.0 14.5 15.5
16 1.0 15.5 15.5
17 2.979 0.5 14.5
18 1.663 1.5 14.5
19 3.618 2.5 14.5
20 3.717 3.5 14.5
21 3.048 4.5 14.5
22 5.716 5.5 14.5
23 5.54 6.5 14.5
24 5.564 7.5 14.5
25 5.47 8.5 14.5
26 4.14 9.5 14.5
27 3.824 10.5 14.5
28 2.889 11.5 14.5
29 2.405 12.5 14.5
30 1.466 13.5 14.5
31 1.438 14.5 14.5
32 1.196 15.5 14.5
33 1.592 0.5 13.5
34 3.097 1.5 13.5
35 2.405 2.5 13.5
36 2.843 3.5 13.5
37 5.426 4.5 13.5
38 5.458 5.5 13.5
39 6.0 6.5 13.5
40 5.647 7.5 13.5
41 5.132 8.5 13.5
42 5.177 9.5 13.5
43 3.845 10.5 13.5
44 3.116 11.5 13.5
45 2.325 12.5 13.5
46 1.534 13.5 13.5
47 1.18 14.5 13.5
48 1.0 15.5 13.5
49 2.035 0.5 12.5
50 1.552 1.5 12.5
51 1.586 2.5 12.5
52 4.038 3.5 12.5
53 4.094 4.5 12.5
54 5.992 5.5 12.5
55 5.054 6.5 12.5
56 5.981 7.5 12.5
57 4.06 8.5 12.5
58 4.663 9.5 12.5
59 4.224 10.5 12.5
60 2.497 11.5 12.5
61 1.877 12.5 12.5
62 1.661 13.5 12.5
63 1.394 14.5 12.5
64 1.0 15.5 12.5
65 1.337 0.5 11.5
66 1.0 1.5 11.5
67 3.765 2.5 11.5
68 3.882 3.5 11.5
69 4.542 4.5 11.5
70 3.498 5.5 11.5
71 3.329 6.5 11.5
72 5.522 7.5 11.5
73 3.133 8.5 11.5
74 4.495 9.5 11.5
75 3.922 10.5 11.5
76 4.212 11.5 11.5
77 2.339 12.5 11.5
78 2.289 13.5 11.5
79 2.131 14.5 11.5
80 1.645 15.5 11.5
81 1.07 0.5 10.5
82 3.165 1.5 10.5
