customer p1x p1y p2x p2y p3x p3y p4x p4y
1 0.0 16.0 1.0 16.0 0.0 15.0 1.0 15.0
2 1.0 16.0 2.0 16.0 1.0 15.0 2.0 15.0
3 2.0 16.0 3.0 16.0 2.0 15.0 3.0 15.0
4 3.0 16.0 4.0 16.0 3.0 15.0 4.0 15.0
5 4.0 16.0 5.0 16.0 4.0 15.0 5.0 15.0
6 5.0 16.0 6.0 16.0 5.0 15.0 6.0 15.0
7 6.0 16.0 7.0 16.0 6.0 15.0 7.0 15.0
8 7.0 16.0 8.0 16.0 7.0 15.0 8.0 15.0
9 8.0 16.0 9.0 16.0 8.0 15.0 9.0 15.0
10 9.0 16.0 10.0 16.0 9.0 15.0 10.0 15.0
11 10.0 16.0 11.0 16.0 10.0 15.0 11.0 15.0
12 11.0 16.0 12.0 16.0 11.0 15.0 12.0 15.0
13 12.0 16.0 13.0 16.0 12.0 15.0 13.0 15.0
14 13.0 16.0 14.0 16.0 13.0 15.0 14.0 15.0
15 14.0 16.0 15.0 16.0 14.0 15.0 15.0 15.0
16 15.0 16.0 16.0 16.0 15.0 15.0 16.0 15.0
17 0.0 15.0 1.0 15.0 0.0 14.0 1.0 14.0
18 1.0 15.0 2.0 15.0 1.0 14.0 2.0 14.0
19 2.0 15.0 3.0 15.0 2.0 14.0 3.0 14.0
20 3.0 15.0 4.0 15.0 3.0 14.0 4.0 14.0
21 4.0 15.0 5.0 15.0 4.0 14.0 5.0 14.0
22 5.0 15.0 6.0 15.0 5.0 14.0 6.0 14.0
23 6.0 15.0 7.0 15.0 6.0 14.0 7.0 14.0
24 7.0 15.0 8.0 15.0 7.0 14.0 8.0 14.0
25 8.0 15.0 9.0 15.0 8.0 14.0 9.0 14.0
26 9.0 15.0 10.0 15.0 9.0 14.0 10.0 14.0
27 10.0 15.0 11.0 15.0 10.0 14.0 11.0 14.0
28 11.0 15.0 12.0 15.0 11.0 14.0 12.0 14.0
29 12.0 15.0 13.0 15.0 12.0 14.0 13.0 14.0
30 13.0 15.0 14.0 15.0 13.0 14.0 14.0 14.0
31 14.0 15.0 15.0 15.0 14.0 14.0 15.0 14.0
32 15.0 15.0 16.0 15.0 15.0 14.0 16.0 14.0
33 0.0 14.0 1.0 14.0 0.0 13.0 1.0 13.0
34 1.0 14.0 2.0 14.0 1.0 13.0 2.0 13.0
35 2.0 14.0 3.0 14.0 2.0 13.0 3.0 13.0
36 3.0 14.0 4.0 14.0 3.0 13.0 4.0 13.0
37 4.0 14.0 5.0 14.0 4.0 13.0 5.0 13.0
38 5.0 14.0 6.0 14.0 5.0 13.0 6.0 13.0
39 6.0 14.0 7.0 14.0 6.0 13.0 7.0 13.0
40 7.0 14.0 8.0 14.0 7.0 13.0 8.0 13.0
41 8.0 14.0 9.0 14.0 8.0 13.0 9.0 13.0
42 9.0 14.0 10.0 14.0 9.0 13.0 10.0 13.0
43 10.0 14.0 11.0 14.0 10.0 13.0 11.0 13.0
44 11.0 14.0 12.0 14.0 11.0 13.0 12.0 13.0
45 12.0 14.0 13.0 14.0 12.0 13.0 13.0 13.0
46 13.0 14.0 14.0 14.0 13.0 13.0 14.0 13.0
47 14.0 14.0 15.0 14.0 14.0 13.0 15.0 13.0
48 15.0 14.0 16.0 14.0 15.0 13.0 16.0 13.0
49 0.0 13.0 1.0 13.0 0.0 12.0 1.0 12.0
50 1.0 13.0 2.0 13.0 1.0 12.0 2.0 12.0
51 2.0 13.0 3.0 13.0 2.0 12.0 3.0 12.0
52 3.0 13.0 4.0 13.0 3.0 12.0 4.0 12.0
53 4.0 13.0 5.0 13.0 4.0 12.0 5.0 12.0
54 5.0 13.0 6.0 13.0 5.0 12.0 6.0 12.0
55 6.0 13.0 7.0 13.0 6.0 12.0 7.0 12.0
56 7.0 13.0 8.0 13.0 7.0 12.0 8.0 12.0
57 8.0 13.0 9.0 13.0 8.0 12.0 9.0 12.0
58 9.0 13.0 10.0 13.0 9.0 12.0 10.0 12.0
59 10.0 13.0 11.0 13.0 10.0 12.0 11.0 12.0
60 11.0 13.0 12.0 13.0 11.0 12.0 12.0 12.0
61 12.0 13.0 13.0 13.0 12.0 12.0 13.0 12.0
62 13.0 13.0 14.0 13.0 13.0 12.0 14.0 12.0
63 14.0 13.0 15.0 13.0 14.0 12.0 15.0 12.0
64 15.0 13.0 16.0 13.0 15.0 12.0 16.0 12.0
65 0.0 12.0 1.0 12.0 0.0 11.0 1.0 11.0
66 1.0 12.0 2.0 12.0 1.0 11.0 2.0 11.0
67 2.0 12.0 3.0 12.0 2.0 11.0 3.0 11.0
68 3.0 12.0 4.0 12.0 3.0 11.0 4.0 11.0
69 4.0 12.0 5.0 12.0 4.0 11.0 5.0 11.0
70 5.0 12.0 6.0 12.0 5.0 11.0 6.0 11.0
71 6.0 12.0 7.0 12.0 6.0 11.0 7.0 11.0
72 7.0 12.0 8.0 12.0 7.0 11.0 8.0 11.0
73 8.0 12.0 9.0 12.0 8.0 11.0 9.0 11.0
74 9.0 12.0 10.0 12.0 9.0 11.0 10.0 11.0
75 10.0 12.0 11.0 12.0 10.0 11.0 11.0 11.0
76 11.0 12.0 12.0 12.0 11.0 11.0 12.0 11.0
77 12.0 12.0 13.0 12.0 12.0 11.0 13.0 11.0
78 13.0 12.0 14.0 12.0 13.0 11.0 14.0 11.0
79 14.0 12.0 15.0 12.0 14.0 11.0 15.0 11.0
80 15.0 12.0 16.0 12.0 15.0 11.0 16.0 11.0
81 0.0 11.0 1.0 11.0 0.0 10.0 1.0 10.0
82 1.0 11.0 2.0 11.0 1.0 10.0 2.0 10.0
83 2.0 11.0 3.0 11.0 2.0 10.0 3.0 10.0
84 3.0 11.0 4.0 11.0 3.0 10.0 4.0 10.0
85 4.0 11.0 5.0 11.0 4.0 10.0 5.0 10.0
86 5.0 11.0 6.0 11.0 5.0 10.0 6.0 10.0
87 6.0 11.0 7.0 11.0 6.0 10.0 7.0 10.0
88 7.0 11.0 8.0 11.0 7.0 10.0 8.0 10.0
89 8.0 11.0 9.0 11.0 8.0 10.0 9.0 10.0
90 9.0 11.0 10.0 11.0 9.0 10.0 10.0 10.0
91 10.0 11.0 11.0 11.0 10.0 10.0 11.0 10.0
92 11.0 11.0 12.0 11.0 11.0 10.0 12.0 10.0
93 12.0 11.0 13.0 11.0 12.0 10.0 13.0 10.0
94 13.0 11.0 14.0 11.0 13.0 10.0 14.0 10.0
95 14.0 11.0 15.0 11.0 14.0 10.0 15.0 10.0
96 15.0 11.0 16.0 11.0 15.0 10.0 16.0 10.0
97 0.0 10.0 1.0 10.0 0.0 9.0 1.0 9.0
98 1.0 10.0 2.0 10.0 1.0 9.0 2.0 9.0
99 2.0 10.0 3.0 10.0 2.0 9.0 3.0 9.0
100 3.0 10.0 4.0 10.0 3.0 9.0 4.0 9.0
101 4.0 10.0 5.0 10.0 4.0 9.0 5.0 9.0
102 5.0 10.0 6.0 10.0 5.0 9.0 6.0 9.0
103 6.0 10.0 7.0 10.0 6.0 9.0 7.0 9.0
104 7.0 10.0 8.0 10.0 7.0 9.0 8.0 9.0
105 8.0 10.0 9.0 10.0 8.0 9.0 9.0 9.0
106 9.0 10.0 10.0 10.0 9.0 9.0 10.0 9.0
107 10.0 10.0 11.0 10.0 10.0 9.0 11.0 9.0
108 11.0 10.0 12.0 10.0 11.0 9.0 12.0 9.0
109 12.0 10.0 13.0 10.0 12.0 9.0 13.0 9.0
110 13.0 10.0 14.0 10.0 13.0 9.0 14.0 9.0
111 14.0 10.0 15.0 10.0 14.0 9.0 15.0 9.0
112 15.0 10.0 16.0 10.0 15.0 9.0 16.0 9.0
113 0.0 9.0 1.0 9.0 0.0 8.0 1.0 8.0
114 1.0 9.0 2.0 9.0 1.0 8.0 2.0 8.0
115 2.0 9.0 3.0 9.0 2.0 8.0 3.0 8.0
116 3.0 9.0 4.0 9.0 3.0 8.0 4.0 8.0
117 4.0 9.0 5.0 9.0 4.0 8.0 5.0 8.0
118 5.0 9.0 6.0 9.0 5.0 8.0 6.0 8.0
119 6.0 9.0 7.0 9.0 6.0 8.0 7.0 8.0
120 7.0 9.0 8.0 9.0 7.0 8.0 8.0 8.0
121 8.0 9.0 9.0 9.0 8.0 8.0 9.0 8.0
122 9.0 9.0 10.0 9.0 9.0 8.0 10.0 8.0
123 10.0 9.0 11.0 9.0 10.0 8.0 11.0 8.0
124 11.0 9.0 12.0 9.0 11.0 8.0 12.0 8.0
125 12.0 9.0 13.0 9.0 12.0 8.0 13.0 8.0
126 13.0 9.0 14.0 9.0 13.0 8.0 14.0 8.0
127 14.0 9.0 15.0 9.0 14.0 8.0 15.0 8.0
128 15.0 9.0 16.0 9.0 15.0 8.0 16.0 8.0
129 0.0 8.0 1.0 8.0 0.0 7.0 1.0 7.0
130 1.0 8.0 2.0 8.0 1.0 7.0 2.0 7.0
131 2.0 8.0 3.0 8.0 2.0 7.0 3.0 7.0
132 3.0 8.0 4.0 8.0 3.0 7.0 4.0 7.0
133 4.0 8.0 5.0 8.0 4.0 7.0 5.0 7.0
134 5.0 8.0 6.0 8.0 5.0 7.0 6.0 7.0
135 6.0 8.0 7.0 8.0 6.0 7.0 7.0 7.0
136 7.0 8.0 8.0 8.0 7.0 7.0 8.0 7.0
137 8.0 8.0 9.0 8.0 8.0 7.0 9.0 7.0
138 9.0 8.0 10.0 8.0 9.0 7.0 10.0 7.0
139 10.0 8.0 11.0 8.0 10.0 7.0 11.0 7.0
140 11.0 8.0 12.0 8.0 11.0 7.0 12.0 7.0
141 12.0 8.0 13.0 8.0 12.0 7.0 13.0 7.0
142 13.0 8.0 14.0 8.0 13.0 7.0 14.0 7.0
143 14.0 8.0 15.0 8.0 14.0 7.0 15.0 7.0
144 15.0 8.0 16.0 8.0 15.0 7.0 16.0 7.0
145 0.0 7.0 1.0 7.0 0.0 6.0 1.0 6.0
146 1.0 7.0 2.0 7.0 1.0 6.0 2.0 6.0
147 2.0 7.0 3.0 7.0 2.0 6.0 3.0 6.0
148 3.0 7.0 4.0 7.0 3.0 6.0 4.0 6.0
149 4.0 7.0 5.0 7.0 4.0 6.0 5.0 6.0
150 5.0 7.0 6.0 7.0 5.0 6.0 6.0 6.0
151 6.0 7.0 7.0 7.0 6.0 6.0 7.0 6.0
152 7.0 7.0 8.0 7.0 7.0 6.0 8.0 6.0
153 8.0 7.0 9.0 7.0 8.0 6.0 9.0 6.0
154 9.0 7.0 10.0 7.0 9.0 6.0 10.0 6.0
155 10.0 7.0 11.0 7.0 10.0 6.0 11.0 6.0
156 11.0 7.0 12.0 7.0 11.0 6.0 12.0 6.0
157 12.0 7.0 13.0 7.0 12.0 6.0 13.0 6.0
158 13.0 7.0 14.0 7.0 13.0 6.0 14.0 6.0
159 14.0 7.0 15.0 7.0 14.0 6.0 15.0 6.0
160 15.0 7.0 16.0 7.0 15.0 6.0 16.0 6.0
161 0.0 6.0 1.0 6.0 0.0 5.0 1.0 5.0
162 1.0 6.0 2.0 6.0 1.0 5.0 2.0 5.0
163 2.0 6.0 3.0 6.0 2.0 5.0 3.0 5.0
164 3.0 6.0 4.0 6.0 3.0 5.0 4.0 5.0
165 4.0 6.0 5.0 6.0 4.0 5.0 5.0 5.0
166 5.0 6.0 6.0 6.0 5.0 5.0 6.0 5.0
167 6.0 6.0 7.0 6.0 6.0 5.0 7.0 5.0
168 7.0 6.0 8.0 6.0 7.0 5.0 8.0 5.0
169 8.0 6.0 9.0 6.0 8.0 5.0 9.0 5.0
170 9.0 6.0 10.0 6.0 9.0 5.0 10.0 5.0
171 10.0 6.0 11.0 6.0 10.0 5.0 11.0 5.0
172 11.0 6.0 12.0 6.0 11.0 5.0 12.0 5.0
173 12.0 6.0 13.0 6.0 12.0 5.0 13.0 5.0
174 13.0 6.0 14.0 6.0 13.0 5.0 14.0 5.0
175 14.0 6.0 15.0 6.0 14.0 5.0 15.0 5.0
176 15.0 6.0 16.0 6.0 15.0 5.0 16.0 5.0
177 0.0 5.0 1.0 5.0 0.0 4.0 1.0 4.0
178 1.0 5.0 2.0 5.0 1.0 4.0 2.0 4.0
179 2.0 5.0 3.0 5.0 2.0 4.0 3.0 4.0
180 3.0 5.0 4.0 5.0 3.0 4.0 4.0 4.0
181 4.0 5.0 5.0 5.0 4.0 4.0 5.0 4.0
182 5.0 5.0 6.0 5.0 5.0 4.0 6.0 4.0
183 6.0 5.0 7.0 5.0 6.0 4.0 7.0 4.0
184 7.0 5.0 8.0 5.0 7.0 4.0 8.0 4.0
185 8.0 5.0 9.0 5.0 8.0 4.0 9.0 4.0
186 9.0 5.0 10.0 5.0 9.0 4.0 10.0 4.0
187 10.0 5.0 11.0 5.0 10.0 4.0 11.0 4.0
188 11.0 5.0 12.0 5.0 11.0 4.0 12.0 4.0
189 12.0 5.0 13.0 5.0 12.0 4.0 13.0 4.0
190 13.0 5.0 14.0 5.0 13.0 4.0 14.0 4.0
191 14.0 5.0 15.0 5.0 14.0 4.0 15.0 4.0
192 15.0 5.0 16.0 5.0 15.0 4.0 16.0 4.0
193 0.0 4.0 1.0 4.0 0.0 3.0 1.0 3.0
194 1.0 4.0 2.0 4.0 1.0 3.0 2.0 3.0
195 2.0 4.0 3.0 4.0 2.0 3.0 3.0 3.0
196 3.0 4.0 4.0 4.0 3.0 3.0 4.0 3.0
197 4.0 4.0 5.0 4.0 4.0 3.0 5.0 3.0
198 5.0 4.0 6.0 4.0 5.0 3.0 6.0 3.0
199 6.0 4.0 7.0 4.0 6.0 3.0 7.0 3.0
200 7.0 4.0 8.0 4.0 7.0 3.0 8.0 3.0
201 8.0 4.0 9.0 4.0 8.0 3.0 9.0 3.0
202 9.0 4.0 10.0 4.0 9.0 3.0 10.0 3.0
203 10.0 4.0 11.0 4.0 10.0 3.0 11.0 3.0
204 11.0 4.0 12.0 4.0 11.0 3.0 12.0 3.0
205 12.0 4.0 13.0 4.0 12.0 3.0 13.0 3.0
206 13.0 4.0 14.0 4.0 13.0 3.0 14.0 3.0
207 14.0 4.0 15.0 4.0 14.0 3.0 15.0 3.0
208 15.0 4.0 16.0 4.0 15.0 3.0 16.0 3.0
209 0.0 3.0 1.0 3.0 0.0 2.0 1.0 2.0
210 1.0 3.0 2.0 3.0 1.0 2.0 2.0 2.0
211 2.0 3.0 3.0 3.0 2.0 2.0 3.0 2.0
212 3.0 3.0 4.0 3.0 3.0 2.0 4.0 2.0
213 4.0 3.0 5.0 3.0 4.0 2.0 5.0 2.0
214 5.0 3.0 6.0 3.0 5.0 2.0 6.0 2.0
215 6.0 3.0 7.0 3.0 6.0 2.0 7.0 2.0
216 7.0 3.0 8.0 3.0 7.0 2.0 8.0 2.0
217 8.0 3.0 9.0 3.0 8.0 2.0 9.0 2.0
218 9.0 3.0 10.0 3.0 9.0 2.0 10.0 2.0
219 10.0 3.0 11.0 3.0 10.0 2.0 11.0 2.0
220 11.0 3.0 12.0 3.0 11.0 2.0 12.0 2.0
221 12.0 3.0 13.0 3.0 12.0 2.0 13.0 2.0
222 13.0 3.0 14.0 3.0 13.0 2.0 14.0 2.0
223 14.0 3.0 15.0 3.0 14.0 2.0 15.0 2.0
224 15.0 3.0 16.0 3.0 15.0 2.0 16.0 2.0
225 0.0 2.0 1.0 2.0 0.0 1.0 1.0 1.0
226 1.0 2.0 2.0 2.0 1.0 1.0 2.0 1.0
227 2.0 2.0 3.0 2.0 2.0 1.0 3.0 1.0
228 3.0 2.0 4.0 2.0 3.0 1.0 4.0 1.0
229 4.0 2.0 5.0 2.0 4.0 1.0 5.0 1.0
230 5.0 2.0 6.0 2.0 5.0 1.0 6.0 1.0
231 6.0 2.0 7.0 2.0 6.0 1.0 7.0 1.0
232 7.0 2.0 8.0 2.0 7.0 1.0 8.0 1.0
233 8.0 2.0 9.0 2.0 8.0 1.0 9.0 1.0
234 9.0 2.0 10.0 2.0 9.0 1.0 10.0 1.0
235 10.0 2.0 11.0 2.0 10.0 1.0 11.0 1.0
236 11.0 2.0 12.0 2.0 11.0 1.0 12.0 1.0
237 12.0 2.0 13.0 2.0 12.0 1.0 13.0 1.0
238 13.0 2.0 14.0 2.0 13.0 1.0 14.0 1.0
