subarea p1x p1y p2x p2y p3x p3y p4x p4y
1 0.0 16.0 2.0 16.0 0.0 14.0 2.0 14.0
2 2.0 16.0 4.0 16.0 2.0 14.0 4.0 14.0
3 4.0 16.0 6.0 16.0 4.0 14.0 6.0 14.0
4 6.0 16.0 8.0 16.0 6.0 14.0 8.0 14.0
5 8.0 16.0 10.0 16.0 8.0 14.0 10.0 14.0
6 10.0 16.0 12.0 16.0 10.0 14.0 12.0 14.0
7 12.0 16.0 14.0 16.0 12.0 14.0 14.0 14.0
8 14.0 16.0 16.0 16.0 14.0 14.0 16.0 14.0
9 0.0 14.0 2.0 14.0 0.0 12.0 2.0 12.0
10 2.0 14.0 4.0 14.0 2.0 12.0 4.0 12.0
11 4.0 14.0 6.0 14.0 4.0 12.0 6.0 12.0
12 6.0 14.0 8.0 14.0 6.0 12.0 8.0 12.0
13 8.0 14.0 10.0 14.0 8.0 12.0 10.0 12.0
14 10.0 14.0 12.0 14.0 10.0 12.0 12.0 12.0
15 12.0 14.0 14.0 14.0 12.0 12.0 14.0 12.0
16 14.0 14.0 16.0 14.0 14.0 12.0 16.0 12.0
17 0.0 12.0 2.0 12.0 0.0 10.0 2.0 10.0
18 2.0 12.0 4.0 12.0 2.0 10.0 4.0 10.0
19 4.0 12.0 6.0 12.0 4.0 10.0 6.0 10.0
20 6.0 12.0 8.0 12.0 6.0 10.0 8.0 10.0
21 8.0 12.0 10.0 12.0 8.0 10.0 10.0 10.0
22 10.0 12.0 12.0 12.0 10.0 10.0 12.0 10.0
23 12.0 12.0 14.0 12.0 12.0 10.0 14.0 10.0
24 14.0 12.0 16.0 12.0 14.0 10.0 16.0 10.0
25 0.0 10.0 2.0 10.0 0.0 8.0 2.0 8.0
26 2.0 10.0 4.0 10.0 2.0 8.0 4.0 8.0
27 4.0 10.0 6.0 10.0 4.0 8.0 6.0 8.0
28 6.0 10.0 8.0 10.0 6.0 8.0 8.0 8.0
29 8.0 10.0 10.0 10.0 8.0 8.0 10.0 8.0
30 10.0 10.0 12.0 10.0 10.0 8.0 12.0 8.0
31 12.0 10.0 14.0 10.0 12.0 8.0 14.0 8.0
32 14.0 10.0 16.0 10.0 14.0 8.0 16.0 8.0
33 0.0 8.0 2.0 8.0 0.0 6.0 2.0 6.0
34 2.0 8.0 4.0 8.0 2.0 6.0 4.0 6.0
35 4.0 8.0 6.0 8.0 4.0 6.0 6.0 6.0
36 6.0 8.0 8.0 8.0 6.0 6.0 8.0 6.0
37 8.0 8.0 10.0 8.0 8.0 6.0 10.0 6.0
38 10.0 8.0 12.0 8.0 10.0 6.0 12.0 6.0
39 12.0 8.0 14.0 8.0 12.0 6.0 14.0 6.0
40 14.0 8.0 16.0 8.0 14.0 6.0 16.0 6.0
41 0.0 6.0 2.0 6.0 0.0 4.0 2.0 4.0
42 2.0 6.0 4.0 6.0 2.0 4.0 4.0 4.0
43 4.0 6.0 6.0 6.0 4.0 4.0 6.0 4.0
44 6.0 6.0 8.0 6.0 6.0 4.0 8.0 4.0
45 8.0 6.0 10.0 6.0 8.0 4.0 10.0 4.0
46 10.0 6.0 12.0 6.0 10.0 4.0 12.0 4.0
47 12.0 6.0 14.0 6.0 12.0 4.0 14.0 4.0
48 14.0 6.0 16.0 6.0 14.0 4.0 16.0 4.0
49 0.0 4.0 2.0 4.0 0.0 2.0 2.0 2.0
50 2.0 4.0 4.0 4.0 2.0 2.0 4.0 2.0
51 4.0 4.0 6.0 4.0 4.0 2.0 6.0 2.0
52 6.0 4.0 8.0 4.0 6.0 2.0 8.0 2.0
53 8.0 4.0 10.0 4.0 8.0 2.0 10.0 2.0
54 10.0 4.0 12.0 4.0 10.0 2.0 12.0 2.0
55 12.0 4.0 14.0 4.0 12.0 2.0 14.0 2.0
56 14.0 4.0 16.0 4.0 14.0 2.0 16.0 2.0
57 0.0 2.0 2.0 2.0 0.0 0.0 2.0 0.0
58 2.0 2.0 4.0 2.0 2.0 0.0 4.0 0.0
59 4.0 2.0 6.0 2.0 4.0 0.0 6.0 0.0
60 6.0 2.0 8.0 2.0 6.0 0.0 8.0 0.0
61 8.0 2.0 10.0 2.0 8.0 0.0 10.0 0.0
62 10.0 2.0 12.0 2.0 10.0 0.0 12.0 0.0
63 12.0 2.0 14.0 2.0 12.0 0.0 14.0 0.0
64 14.0 2.0 16.0 2.0 14.0 0.0 16.0 0.0
