subarea p1x p1y p2x p2y p3x p3y p4x p4y
1 0.0 28.0 2.0 28.0 0.0 26.0 2.0 26.0
2 2.0 28.0 4.0 28.0 2.0 26.0 4.0 26.0
3 4.0 28.0 6.0 28.0 4.0 26.0 6.0 26.0
4 6.0 28.0 8.0 28.0 6.0 26.0 8.0 26.0
5 8.0 28.0 10.0 28.0 8.0 26.0 10.0 26.0
6 10.0 28.0 12.0 28.0 10.0 26.0 12.0 26.0
7 12.0 28.0 14.0 28.0 12.0 26.0 14.0 26.0
8 14.0 28.0 16.0 28.0 14.0 26.0 16.0 26.0
9 16.0 28.0 18.0 28.0 16.0 26.0 18.0 26.0
10 18.0 28.0 20.0 28.0 18.0 26.0 20.0 26.0
11 20.0 28.0 22.0 28.0 20.0 26.0 22.0 26.0
12 22.0 28.0 24.0 28.0 22.0 26.0 24.0 26.0
13 24.0 28.0 26.0 28.0 24.0 26.0 26.0 26.0
14 26.0 28.0 28.0 28.0 26.0 26.0 28.0 26.0
15 0.0 26.0 2.0 26.0 0.0 24.0 2.0 24.0
16 2.0 26.0 4.0 26.0 2.0 24.0 4.0 24.0
17 4.0 26.0 6.0 26.0 4.0 24.0 6.0 24.0
18 6.0 26.0 8.0 26.0 6.0 24.0 8.0 24.0
19 8.0 26.0 10.0 26.0 8.0 24.0 10.0 24.0
20 10.0 26.0 12.0 26.0 10.0 24.0 12.0 24.0
21 12.0 26.0 14.0 26.0 12.0 24.0 14.0 24.0
22 14.0 26.0 16.0 26.0 14.0 24.0 16.0 24.0
23 16.0 26.0 18.0 26.0 16.0 24.0 18.0 24.0
24 18.0 26.0 20.0 26.0 18.0 24.0 20.0 24.0
25 20.0 26.0 22.0 26.0 20.0 24.0 22.0 24.0
26 22.0 26.0 24.0 26.0 22.0 24.0 24.0 24.0
27 24.0 26.0 26.0 26.0 24.0 24.0 26.0 24.0
28 26.0 26.0 28.0 26.0 26.0 24.0 28.0 24.0
29 0.0 24.0 2.0 24.0 0.0 22.0 2.0 22.0
30 2.0 24.0 4.0 24.0 2.0 22.0 4.0 22.0
31 4.0 24.0 6.0 24.0 4.0 22.0 6.0 22.0
32 6.0 24.0 8.0 24.0 6.0 22.0 8.0 22.0
33 8.0 24.0 10.0 24.0 8.0 22.0 10.0 22.0
34 10.0 24.0 12.0 24.0 10.0 22.0 12.0 22.0
35 12.0 24.0 14.0 24.0 12.0 22.0 14.0 22.0
36 14.0 24.0 16.0 24.0 14.0 22.0 16.0 22.0
37 16.0 24.0 18.0 24.0 16.0 22.0 18.0 22.0
38 18.0 24.0 20.0 24.0 18.0 22.0 20.0 22.0
39 20.0 24.0 22.0 24.0 20.0 22.0 22.0 22.0
40 22.0 24.0 24.0 24.0 22.0 22.0 24.0 22.0
41 24.0 24.0 26.0 24.0 24.0 22.0 26.0 22.0
42 26.0 24.0 28.0 24.0 26.0 22.0 28.0 22.0
43 0.0 22.0 2.0 22.0 0.0 20.0 2.0 20.0
44 2.0 22.0 4.0 22.0 2.0 20.0 4.0 20.0
45 4.0 22.0 6.0 22.0 4.0 20.0 6.0 20.0
46 6.0 22.0 8.0 22.0 6.0 20.0 8.0 20.0
47 8.0 22.0 10.0 22.0 8.0 20.0 10.0 20.0
48 10.0 22.0 12.0 22.0 10.0 20.0 12.0 20.0
49 12.0 22.0 14.0 22.0 12.0 20.0 14.0 20.0
50 14.0 22.0 16.0 22.0 14.0 20.0 16.0 20.0
51 16.0 22.0 18.0 22.0 16.0 20.0 18.0 20.0
52 18.0 22.0 20.0 22.0 18.0 20.0 20.0 20.0
53 20.0 22.0 22.0 22.0 20.0 20.0 22.0 20.0
54 22.0 22.0 24.0 22.0 22.0 20.0 24.0 20.0
55 24.0 22.0 26.0 22.0 24.0 20.0 26.0 20.0
56 26.0 22.0 28.0 22.0 26.0 20.0 28.0 20.0
57 0.0 20.0 2.0 20.0 0.0 18.0 2.0 18.0
58 2.0 20.0 4.0 20.0 2.0 18.0 4.0 18.0
59 4.0 20.0 6.0 20.0 4.0 18.0 6.0 18.0
60 6.0 20.0 8.0 20.0 6.0 18.0 8.0 18.0
61 8.0 20.0 10.0 20.0 8.0 18.0 10.0 18.0
62 10.0 20.0 12.0 20.0 10.0 18.0 12.0 18.0
63 12.0 20.0 14.0 20.0 12.0 18.0 14.0 18.0
64 14.0 20.0 16.0 20.0 14.0 18.0 16.0 18.0
65 16.0 20.0 18.0 20.0 16.0 18.0 18.0 18.0
66 18.0 20.0 20.0 20.0 18.0 18.0 20.0 18.0
67 20.0 20.0 22.0 20.0 20.0 18.0 22.0 18.0
68 22.0 20.0 24.0 20.0 22.0 18.0 24.0 18.0
69 24.0 20.0 26.0 20.0 24.0 18.0 26.0 18.0
70 26.0 20.0 28.0 20.0 26.0 18.0 28.0 18.0
71 0.0 18.0 2.0 18.0 0.0 16.0 2.0 16.0
72 2.0 18.0 4.0 18.0 2.0 16.0 4.0 16.0
73 4.0 18.0 6.0 18.0 4.0 16.0 6.0 16.0
74 6.0 18.0 8.0 18.0 6.0 16.0 8.0 16.0
75 8.0 18.0 10.0 18.0 8.0 16.0 10.0 16.0
76 10.0 18.0 12.0 18.0 10.0 16.0 12.0 16.0
77 12.0 18.0 14.0 18.0 12.0 16.0 14.0 16.0
78 14.0 18.0 16.0 18.0 14.0 16.0 16.0 16.0
79 16.0 18.0 18.0 18.0 16.0 16.0 18.0 16.0
80 18.0 18.0 20.0 18.0 18.0 16.0 20.0 16.0
81 20.0 18.0 22.0 18.0 20.0 16.0 22.0 16.0
82 22.0 18.0 24.0 18.0 22.0 16.0 24.0 16.0
83 24.0 18.0 26.0 18.0 24.0 16.0 26.0 16.0
84 26.0 18.0 28.0 18.0 26.0 16.0 28.0 16.0
85 0.0 16.0 2.0 16.0 0.0 14.0 2.0 14.0
86 2.0 16.0 4.0 16.0 2.0 14.0 4.0 14.0
87 4.0 16.0 6.0 16.0 4.0 14.0 6.0 14.0
88 6.0 16.0 8.0 16.0 6.0 14.0 8.0 14.0
89 8.0 16.0 10.0 16.0 8.0 14.0 10.0 14.0
90 10.0 16.0 12.0 16.0 10.0 14.0 12.0 14.0
91 12.0 16.0 14.0 16.0 12.0 14.0 14.0 14.0
92 14.0 16.0 16.0 16.0 14.0 14.0 16.0 14.0
93 16.0 16.0 18.0 16.0 16.0 14.0 18.0 14.0
94 18.0 16.0 20.0 16.0 18.0 14.0 20.0 14.0
95 20.0 16.0 22.0 16.0 20.0 14.0 22.0 14.0
96 22.0 16.0 24.0 16.0 22.0 14.0 24.0 14.0
97 24.0 16.0 26.0 16.0 24.0 14.0 26.0 14.0
98 26.0 16.0 28.0 16.0 26.0 14.0 28.0 14.0
99 0.0 14.0 2.0 14.0 0.0 12.0 2.0 12.0
100 2.0 14.0 4.0 14.0 2.0 12.0 4.0 12.0
101 4.0 14.0 6.0 14.0 4.0 12.0 6.0 12.0
102 6.0 14.0 8.0 14.0 6.0 12.0 8.0 12.0
