subarea p1x p1y p2x p2y p3x p3y p4x p4y
0 0.0 28.0 7.0 28.0 0.0 21.0 7.0 21.0
1 7.0 28.0 14.0 28.0 7.0 21.0 14.0 21.0
2 14.0 28.0 21.0 28.0 14.0 21.0 21.0 21.0
3 21.0 28.0 28.0 28.0 21.0 21.0 28.0 21.0
4 0.0 21.0 7.0 21.0 0.0 14.0 7.0 14.0
5 7.0 21.0 14.0 21.0 7.0 14.0 14.0 14.0
6 14.0 21.0 21.0 21.0 14.0 14.0 21.0 14.0
7 21.0 21.0 28.0 21.0 21.0 14.0 28.0 14.0
8 0.0 14.0 7.0 14.0 0.0 7.0 7.0 7.0
9 7.0 14.0 14.0 14.0 7.0 7.0 14.0 7.0
10 14.0 14.0 21.0 14.0 14.0 7.0 21.0 7.0
11 21.0 14.0 28.0 14.0 21.0 7.0 28.0 7.0
12 0.0 7.0 7.0 7.0 0.0 0.0 7.0 0.0
13 7.0 7.0 14.0 7.0 7.0 0.0 14.0 0.0
14 14.0 7.0 21.0 7.0 14.0 0.0 21.0 0.0
15 21.0 7.0 28.0 7.0 21.0 0.0 28.0 0.0
